county,harold_ford_jr,bob_corker
ANDERSON,10809,12349
BEDFORD,4931,5602
BENTON,3232,2176
BLEDSOE,1692,2210
BLOUNT,13372,22046
BRADLEY,8057,18161
CAMPBELL,4896,5051
CANNON,2282,1925
CARROLL,4256,4742
CARTER,5664,10577
CHEATHAM,5146,6134
CHESTER,1646,2696
CLAIBORNE,3426,4112
CLAY,1425,1015
COCKE,3563,5952
COFFEE,7147,8069
CROCKETT,2246,2212
CUMBERLAND,7471,11515
DAVIDSON,106847,67136
DECATUR,1902,1941
DEKALB,2999,2450
DICKSON,7232,7014
DYER,4848,6115
FAYETTE,5275,7296
FENTRESS,2237,2918
FRANKLIN,6477,6142
GIBSON,7471,8003
GILES,4336,4017
GRAINGER,2211,3198
GREENE,6419,11852
GRUNDY,2367,1466
HAMBLEN,6366,10186
HAMILTON,49904,57411
HANCOCK,729,1130
HARDEMAN,4484,3367
HARDIN,3029,4278
HAWKINS,5943,8636
HAYWOOD,3763,2130
HENDERSON,3126,5360
HENRY,4947,4689
HICKMAN,3743,2852
HOUSTON,1734,931
HUMPHREYS,3915,2236
JACKSON,2531,1350
JEFFERSON,4906,8219
JOHNSON,1626,3148
KNOX,53293,69129
LAKE,981,571
LAUDERDALE,3954,2953
LAWRENCE,5550,6715
LEWIS,1969,1893
LINCOLN,3470,4535
LOUDON,5369,10812
MACON,2410,3033
MADISON,14549,15367
MARION,4775,3944
MARSHALL,3762,3391
MAURY,11128,11994
MCMINN,5214,8762
MCNAIRY,3360,4292
MEIGS,1465,1808
MONROE,4856,7535
MONTGOMERY,17999,17045
MOORE,966,1165
MORGAN,2413,2627
OBION,4734,4936
OVERTON,3895,2602
PERRY,1326,964
PICKETT,977,1124
POLK,2412,2655
PUTNAM,9670,10127
RHEA,3278,5146
ROANE,7669,9645
ROBERTSON,8587,10008
RUTHERFORD,26829,33809
SCOTT,2504,2798
SEQUATCHIE,1986,2227
SEVIER,7326,15361
SHELBY,179677,103377
SMITH,3622,2610
STEWART,2608,1675
SULLIVAN,16814,27872
SUMNER,18976,26996
TIPTON,6775,9717
TROUSDALE,1674,891
UNICOI,2015,3491
UNION,2025,2418
VAN BUREN,1116,766
WARREN,6255,4940
WASHINGTON,12894,21147
WAYNE,1583,2496
WEAKLEY,4542,5412
WHITE,3894,3601
WILLIAMSON,19682,40852
WILSON,14520,20662
ANDERSON,0,0
BEDFORD,0,0
BENTON,0,0
BLEDSOE,0,0
BLOUNT,0,0
BRADLEY,0,0
CAMPBELL,0,0
CANNON,0,0
CARROLL,0,0
CARTER,0,0
CHEATHAM,0,0
CHESTER,0,0
CLAIBORNE,0,0
CLAY,0,0
COCKE,0,0
COFFEE,0,0
CROCKETT,0,0
CUMBERLAND,0,0
DAVIDSON,0,0
DECATUR,0,0
DEKALB,0,0
DICKSON,0,0
DYER,0,0
FAYETTE,0,1
FENTRESS,0,0
FRANKLIN,0,0
GIBSON,0,0
GILES,0,0
GRAINGER,0,0
GREENE,0,0
GRUNDY,0,0
HAMBLEN,0,0
HAMILTON,0,0
HANCOCK,0,0
HARDEMAN,0,0
HARDIN,0,0
HAWKINS,0,0
HAYWOOD,0,0
HENDERSON,0,0
HENRY,0,0
HICKMAN,0,0
HOUSTON,0,0
HUMPHREYS,1,0
JACKSON,0,0
JEFFERSON,0,0
JOHNSON,0,0
KNOX,0,0
LAKE,0,0
LAUDERDALE,0,0
LAWRENCE,0,0
LEWIS,0,0
LINCOLN,0,0
LOUDON,0,0
MACON,0,0
MADISON,0,0
MARION,0,0
MARSHALL,0,0
MAURY,0,0
MCMINN,0,0
MCNAIRY,0,0
MEIGS,0,0
MONROE,0,0
MONTGOMERY,0,0
MOORE,0,0
MORGAN,0,0
OBION,0,0
OVERTON,0,0
PERRY,0,0
PICKETT,0,0
POLK,0,0
PUTNAM,0,0
RHEA,0,0
ROANE,0,0
ROBERTSON,0,0
RUTHERFORD,0,0
SCOTT,0,0
SEQUATCHIE,0,0
SEVIER,0,0
SHELBY,0,0
SMITH,0,0
STEWART,0,0
SULLIVAN,0,0
SUMNER,0,0
TIPTON,0,0
TROUSDALE,0,0
UNICOI,0,0
UNION,0,0
VAN BUREN,0,0
WARREN,0,0
WASHINGTON,0,0
WAYNE,0,0
WEAKLEY,0,0
WHITE,0,0
WILLIAMSON,0,0
WILSON,0,0
