COUNTY    , Precinct Seq, PRECINCT            , Office Seq, OfficeID, District, Candidate Group, OFFICENAME                                 , ELECTDATE         , ELECTTYPE       , Col1, BName1                           , Tally1, Col2, BName2                            , Tally2, Col3, BName3                        , Tally3, Col4, BName4                         , Tally4, Col5, BName5                              , Tally5, Col6, BName6                           , Tally6, Col7, BName7                         , Tally7, Col8, BName8                            , Tally8, Col9, BName9                      , Tally9, Col10, BName10                      , Tally10
ANDERSON  ,         0001, Andersonville       ,          1, PRES    ,         ,               1, United States President                    , "November 6, 2012", General Election,    1, . Mitt Romney - (R)              ,   1110,    2, . Barack Obama - (D)              ,    267,    3, . Virgil Goode - (C)          ,      3,    4, . Jill Stein - (G)             ,      0,    5, ". Ross C. ""Rocky"" Anderson - (I)",      0,    6, . Gary Johnson - (I)             ,      6,    7, . Merlin Miller - (I)          ,      1,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0001, Andersonville       ,          2, USS     ,         ,               1, United States Senate                       , "November 6, 2012", General Election,    1, . Bob Corker - (R)               ,   1067,    2, . Mark E. Clayton - (D)           ,    216,    3, . Kermit Steck - (C)          ,     17,    4, . Martin Pleasant - (G)        ,     11,    5, . Shaun E. Crowell - (I)            ,     18,    6, . David Gatchell - (I)           ,      0,    7, . James Higdon - (I)           ,      5,    8, . Michel Joseph Long - (I)        ,      1,    9, . Troy Stephen Scoggin - (I),      0,    10, . Write-In - Fred R. Anderson,       0
ANDERSON  ,         0001, Andersonville       ,          2, USS     ,         ,              11, United States Senate                       , "November 6, 2012", General Election,   11, . Write-In - Larry Crim          ,      0,   12, . Write-In - Gary Gene Davis      ,      0,   13, . Write-In - Allen Hoenicke   ,      0,   14, . Write-In - De Wayne A. Jones ,      0,   15, . Write-In - Jacob Maurer           ,      0,   16, . Write-In - Jim Maynard         ,      0,   17, . Write-In - Margie Nell Penn  ,      0,   18, . Write-In - Christopher Schappert,      0,   19, . Write-In - Lee Stewart    ,      0,    20, . Write-In - Angelia Stinnett,       0
ANDERSON  ,         0001, Andersonville       ,          2, USS     ,         ,              21, United States Senate                       , "November 6, 2012", General Election,   21, . Write-In - Mary D. Wright      ,      0,     ,                                   ,      0,     ,                               ,      0,     ,                                ,      0,     ,                                     ,      0,     ,                                  ,      0,     ,                                ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0001, Andersonville       ,          3, USH     ,        3,               1, U.S. House of Representatives District     , "November 6, 2012", General Election,    1, . Chuck Fleischmann - (R)        ,    996,    2, . Mary M. Headrick - (D)          ,    282,    3, . Matthew Deniston - (I)      ,     48,    4, . Write-In - Richard Hall      ,      0,    5, . Write-In - Lady J Jean Howard-Hill,      0,     ,                                  ,      0,     ,                                ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0001, Andersonville       ,          5, TNH     ,       36,               1, Tennessee House of Representatives District, "November 6, 2012", General Election,    1, . Dennis Powers - (R)            ,    998,    2, . Virgil Kidwell - (I)            ,    246,     ,                               ,      0,     ,                                ,      0,     ,                                     ,      0,     ,                                  ,      0,     ,                                ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0002, Briceville          ,          1, PRES    ,         ,               1, United States President                    , "November 6, 2012", General Election,    1, . Mitt Romney - (R)              ,    227,    2, . Barack Obama - (D)              ,     94,    3, . Virgil Goode - (C)          ,      0,    4, . Jill Stein - (G)             ,      0,    5, ". Ross C. ""Rocky"" Anderson - (I)",      0,    6, . Gary Johnson - (I)             ,      3,    7, . Merlin Miller - (I)          ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0002, Briceville          ,          2, USS     ,         ,               1, United States Senate                       , "November 6, 2012", General Election,    1, . Bob Corker - (R)               ,    219,    2, . Mark E. Clayton - (D)           ,     69,    3, . Kermit Steck - (C)          ,      3,    4, . Martin Pleasant - (G)        ,      1,    5, . Shaun E. Crowell - (I)            ,      1,    6, . David Gatchell - (I)           ,      0,    7, . James Higdon - (I)           ,      1,    8, . Michel Joseph Long - (I)        ,      1,    9, . Troy Stephen Scoggin - (I),      0,    10, . Write-In - Fred R. Anderson,       0
ANDERSON  ,         0002, Briceville          ,          2, USS     ,         ,              11, United States Senate                       , "November 6, 2012", General Election,   11, . Write-In - Larry Crim          ,      0,   12, . Write-In - Gary Gene Davis      ,      0,   13, . Write-In - Allen Hoenicke   ,      0,   14, . Write-In - De Wayne A. Jones ,      0,   15, . Write-In - Jacob Maurer           ,      0,   16, . Write-In - Jim Maynard         ,      0,   17, . Write-In - Margie Nell Penn  ,      0,   18, . Write-In - Christopher Schappert,      0,   19, . Write-In - Lee Stewart    ,      0,    20, . Write-In - Angelia Stinnett,       0
ANDERSON  ,         0002, Briceville          ,          2, USS     ,         ,              21, United States Senate                       , "November 6, 2012", General Election,   21, . Write-In - Mary D. Wright      ,      0,     ,                                   ,      0,     ,                               ,      0,     ,                                ,      0,     ,                                     ,      0,     ,                                  ,      0,     ,                                ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0002, Briceville          ,          3, USH     ,        3,               1, U.S. House of Representatives District     , "November 6, 2012", General Election,    1, . Chuck Fleischmann - (R)        ,    193,    2, . Mary M. Headrick - (D)          ,     88,    3, . Matthew Deniston - (I)      ,      7,    4, . Write-In - Richard Hall      ,      0,    5, . Write-In - Lady J Jean Howard-Hill,      0,     ,                                  ,      0,     ,                                ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0002, Briceville          ,          5, TNH     ,       33,               1, Tennessee House of Representatives District, "November 6, 2012", General Election,    1, . John D. Ragan - (R)            ,    137,    2, . Jim Hackworth - (D)             ,    168,     ,                               ,      0,     ,                                ,      0,     ,                                     ,      0,     ,                                  ,      0,     ,                                ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0003, Bull Run            ,          1, PRES    ,         ,               1, United States President                    , "November 6, 2012", General Election,    1, . Mitt Romney - (R)              ,   1395,    2, . Barack Obama - (D)              ,    491,    3, . Virgil Goode - (C)          ,     11,    4, . Jill Stein - (G)             ,      3,    5, ". Ross C. ""Rocky"" Anderson - (I)",      2,    6, . Gary Johnson - (I)             ,     21,    7, . Merlin Miller - (I)          ,      1,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0003, Bull Run            ,          2, USS     ,         ,               1, United States Senate                       , "November 6, 2012", General Election,    1, . Bob Corker - (R)               ,   1407,    2, . Mark E. Clayton - (D)           ,    333,    3, . Kermit Steck - (C)          ,     31,    4, . Martin Pleasant - (G)        ,     33,    5, . Shaun E. Crowell - (I)            ,     21,    6, . David Gatchell - (I)           ,      0,    7, . James Higdon - (I)           ,      6,    8, . Michel Joseph Long - (I)        ,      8,    9, . Troy Stephen Scoggin - (I),      6,    10, . Write-In - Fred R. Anderson,       0
ANDERSON  ,         0003, Bull Run            ,          2, USS     ,         ,              11, United States Senate                       , "November 6, 2012", General Election,   11, . Write-In - Larry Crim          ,      0,   12, . Write-In - Gary Gene Davis      ,      0,   13, . Write-In - Allen Hoenicke   ,      0,   14, . Write-In - De Wayne A. Jones ,      0,   15, . Write-In - Jacob Maurer           ,      0,   16, . Write-In - Jim Maynard         ,      0,   17, . Write-In - Margie Nell Penn  ,      0,   18, . Write-In - Christopher Schappert,      0,   19, . Write-In - Lee Stewart    ,      0,    20, . Write-In - Angelia Stinnett,       0
ANDERSON  ,         0003, Bull Run            ,          2, USS     ,         ,              21, United States Senate                       , "November 6, 2012", General Election,   21, . Write-In - Mary D. Wright      ,      0,     ,                                   ,      0,     ,                               ,      0,     ,                                ,      0,     ,                                     ,      0,     ,                                  ,      0,     ,                                ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0003, Bull Run            ,          3, USH     ,        3,               1, U.S. House of Representatives District     , "November 6, 2012", General Election,    1, . Chuck Fleischmann - (R)        ,   1312,    2, . Mary M. Headrick - (D)          ,    452,    3, . Matthew Deniston - (I)      ,     55,    4, . Write-In - Richard Hall      ,      0,    5, . Write-In - Lady J Jean Howard-Hill,      0,     ,                                  ,      0,     ,                                ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0003, Bull Run            ,          5, TNH     ,       33,               1, Tennessee House of Representatives District, "November 6, 2012", General Election,    1, . John D. Ragan - (R)            ,   1100,    2, . Jim Hackworth - (D)             ,    766,     ,                               ,      0,     ,                                ,      0,     ,                                     ,      0,     ,                                  ,      0,     ,                                ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0004, Clinton             ,          1, PRES    ,         ,               1, United States President                    , "November 6, 2012", General Election,    1, . Mitt Romney - (R)              ,   1359,    2, . Barack Obama - (D)              ,    575,    3, . Virgil Goode - (C)          ,      2,    4, . Jill Stein - (G)             ,      1,    5, ". Ross C. ""Rocky"" Anderson - (I)",      2,    6, . Gary Johnson - (I)             ,     21,    7, . Merlin Miller - (I)          ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0004, Clinton             ,          2, USS     ,         ,               1, United States Senate                       , "November 6, 2012", General Election,    1, . Bob Corker - (R)               ,   1400,    2, . Mark E. Clayton - (D)           ,    373,    3, . Kermit Steck - (C)          ,     15,    4, . Martin Pleasant - (G)        ,     26,    5, . Shaun E. Crowell - (I)            ,     15,    6, . David Gatchell - (I)           ,      4,    7, . James Higdon - (I)           ,     10,    8, . Michel Joseph Long - (I)        ,      6,    9, . Troy Stephen Scoggin - (I),      4,    10, . Write-In - Fred R. Anderson,       0
