COUNTY    , Precinct Sequence, Precinct Name       , Office Seq, OfficeID, District, Candidate Group, OFFICENAME                                 , ELECTDATE         , ELECTTYPE    , Col1, BName1                         , Tally1, Col2, BName2                                      , Tally2, Col3, BName3                                   , Tally3, Col4, BName4                           , Tally4, Col5, BName5                       , Tally5, Col6, BName6                         , Tally6, Col7, BName7                  , Tally7, Col8, BName8                         , Tally8, Col9, BName9                  , Tally9, Col10, BName10                    , Tally10
ANDERSON  ,              0003, Blockhouse Valley   ,          1, GOV     ,         ,               1, Governor                                   , "November 2, 2010", State General,    1, . Bill Haslam - R              ,    187,    2, . Mike McWherter - D                        ,     25,    3, . Bayron Binkley - I                     ,      1,    4, . Brandon Dodds - I              ,      1,    5, . Samuel David Duck - I      ,      0,    6, . David Gatchell - I           ,      0,    7, . June Griffin - I      ,      0,    8, . Toni K. Hall - I             ,      0,    9, . Mike Knois - I        ,      0,    10, . Boyce T. McCall - I      ,       0
ANDERSON  ,              0003, Blockhouse Valley   ,          1, GOV     ,         ,              11, Governor                                   , "November 2, 2010", State General,   11, . Donald Ray McFolin - I       ,      0,   12, . Linda Kay Perry - I                       ,      2,   13, . James Reesor - I                       ,      0,   14, . Thomas Smith II - I            ,      0,   15, . Howard M. Switzer - I      ,      0,   16, . Carl Twofeathers Whitaker - I,      0,   17, . Write-in - James Lee  ,      0,   18, . Write-in - Basil Marceaux    ,      0,   19, . Write-in - Gary Nugent,      0,      ,                            ,       0
ANDERSON  ,              0003, Blockhouse Valley   ,          2, CA      ,         ,               1, Constitutional Amendment                   , "November 2, 2010", State General,    1, . Yes                          ,    174,    2, . No                                        ,     19,     ,                                          ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,      ,                            ,       0
ANDERSON  ,              0003, Blockhouse Valley   ,          3, UH      ,        3,               1, U. S. House of Representatives District    , "November 2, 2010", State General,    1, . Chuck Fleischmann - R        ,    142,    2, . John Wolfe - D                            ,     35,    3, . Don Barkman - I                        ,      1,    4, . Mark DeVol - I                 ,     14,    5, . Gregory C. Goodwin - I     ,      1,    6, . Robert Humphries - I         ,      0,    7, . Mo Kiah - I           ,      1,    8, . Savas T. Kyriakidis - I      ,      9,     ,                         ,      0,      ,                            ,       0
ANDERSON  ,              0003, Blockhouse Valley   ,          4, TS      ,        5,               1, Tennessee Senate District                  , "November 2, 2010", State General,    1, . Randy McNally - R            ,    180,     ,                                             ,      0,     ,                                          ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,      ,                            ,       0
ANDERSON  ,              0003, Blockhouse Valley   ,          5, TH      ,       33,               1, Tennessee House of Representatives District, "November 2, 2010", State General,    1, . John D Ragan - R             ,    143,    2, . Jim Hackworth - D                         ,     65,     ,                                          ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,      ,                            ,       0
ANDERSON  ,              0004, Clinton             ,          1, GOV     ,         ,               1, Governor                                   , "November 2, 2010", State General,    1, . Bill Haslam - R              ,   1099,    2, . Mike McWherter - D                        ,    308,    3, . Bayron Binkley - I                     ,      2,    4, . Brandon Dodds - I              ,      4,    5, . Samuel David Duck - I      ,      2,    6, . David Gatchell - I           ,      0,    7, . June Griffin - I      ,      2,    8, . Toni K. Hall - I             ,      1,    9, . Mike Knois - I        ,      1,    10, . Boyce T. McCall - I      ,       0
ANDERSON  ,              0004, Clinton             ,          1, GOV     ,         ,              11, Governor                                   , "November 2, 2010", State General,   11, . Donald Ray McFolin - I       ,      0,   12, . Linda Kay Perry - I                       ,      0,   13, . James Reesor - I                       ,      3,   14, . Thomas Smith II - I            ,      0,   15, . Howard M. Switzer - I      ,      2,   16, . Carl Twofeathers Whitaker - I,     14,   17, . Write-in - James Lee  ,      0,   18, . Write-in - Basil Marceaux    ,      0,   19, . Write-in - Gary Nugent,      0,      ,                            ,       0
ANDERSON  ,              0004, Clinton             ,          2, CA      ,         ,               1, Constitutional Amendment                   , "November 2, 2010", State General,    1, . Yes                          ,   1132,    2, . No                                        ,    109,     ,                                          ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,      ,                            ,       0
ANDERSON  ,              0004, Clinton             ,          3, UH      ,        3,               1, U. S. House of Representatives District    , "November 2, 2010", State General,    1, . Chuck Fleischmann - R        ,    846,    2, . John Wolfe - D                            ,    334,    3, . Don Barkman - I                        ,      9,    4, . Mark DeVol - I                 ,    106,    5, . Gregory C. Goodwin - I     ,      0,    6, . Robert Humphries - I         ,      6,    7, . Mo Kiah - I           ,      4,    8, . Savas T. Kyriakidis - I      ,     32,     ,                         ,      0,      ,                            ,       0
ANDERSON  ,              0004, Clinton             ,          4, TS      ,        5,               1, Tennessee Senate District                  , "November 2, 2010", State General,    1, . Randy McNally - R            ,   1130,     ,                                             ,      0,     ,                                          ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,      ,                            ,       0
ANDERSON  ,              0004, Clinton             ,          5, TH      ,       33,               1, Tennessee House of Representatives District, "November 2, 2010", State General,    1, . John D Ragan - R             ,    710,    2, . Jim Hackworth - D                         ,    690,     ,                                          ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,      ,                            ,       0
ANDERSON  ,              0005, Clinton High        ,          1, GOV     ,         ,               1, Governor                                   , "November 2, 2010", State General,    1, . Bill Haslam - R              ,    549,    2, . Mike McWherter - D                        ,    146,    3, . Bayron Binkley - I                     ,      0,    4, . Brandon Dodds - I              ,      7,    5, . Samuel David Duck - I      ,      0,    6, . David Gatchell - I           ,      0,    7, . June Griffin - I      ,      0,    8, . Toni K. Hall - I             ,      0,    9, . Mike Knois - I        ,      0,    10, . Boyce T. McCall - I      ,       0
ANDERSON  ,              0005, Clinton High        ,          1, GOV     ,         ,              11, Governor                                   , "November 2, 2010", State General,   11, . Donald Ray McFolin - I       ,      0,   12, . Linda Kay Perry - I                       ,      2,   13, . James Reesor - I                       ,      0,   14, . Thomas Smith II - I            ,      1,   15, . Howard M. Switzer - I      ,      0,   16, . Carl Twofeathers Whitaker - I,      2,   17, . Write-in - James Lee  ,      0,   18, . Write-in - Basil Marceaux    ,      0,   19, . Write-in - Gary Nugent,      0,      ,                            ,       0
ANDERSON  ,              0005, Clinton High        ,          2, CA      ,         ,               1, Constitutional Amendment                   , "November 2, 2010", State General,    1, . Yes                          ,    577,    2, . No                                        ,     66,     ,                                          ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,      ,                            ,       0
ANDERSON  ,              0005, Clinton High        ,          3, UH      ,        3,               1, U. S. House of Representatives District    , "November 2, 2010", State General,    1, . Chuck Fleischmann - R        ,    437,    2, . John Wolfe - D                            ,    160,    3, . Don Barkman - I                        ,      1,    4, . Mark DeVol - I                 ,     46,    5, . Gregory C. Goodwin - I     ,      1,    6, . Robert Humphries - I         ,      4,    7, . Mo Kiah - I           ,      1,    8, . Savas T. Kyriakidis - I      ,     14,     ,                         ,      0,      ,                            ,       0
ANDERSON  ,              0005, Clinton High        ,          4, TS      ,        5,               1, Tennessee Senate District                  , "November 2, 2010", State General,    1, . Randy McNally - R            ,    567,     ,                                             ,      0,     ,                                          ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,      ,                            ,       0
ANDERSON  ,              0005, Clinton High        ,          5, TH      ,       33,               1, Tennessee House of Representatives District, "November 2, 2010", State General,    1, . John D Ragan - R             ,    378,    2, . Jim Hackworth - D                         ,    314,     ,                                          ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,      ,                            ,       0
ANDERSON  ,              0006, Claxton             ,          1, GOV     ,         ,               1, Governor                                   , "November 2, 2010", State General,    1, . Bill Haslam - R              ,   1327,    2, . Mike McWherter - D                        ,    342,    3, . Bayron Binkley - I                     ,      4,    4, . Brandon Dodds - I              ,     13,    5, . Samuel David Duck - I      ,      2,    6, . David Gatchell - I           ,      0,    7, . June Griffin - I      ,      1,    8, . Toni K. Hall - I             ,      3,    9, . Mike Knois - I        ,      0,    10, . Boyce T. McCall - I      ,       0
ANDERSON  ,              0006, Claxton             ,          1, GOV     ,         ,              11, Governor                                   , "November 2, 2010", State General,   11, . Donald Ray McFolin - I       ,      1,   12, . Linda Kay Perry - I                       ,      0,   13, . James Reesor - I                       ,      4,   14, . Thomas Smith II - I            ,      3,   15, . Howard M. Switzer - I      ,      5,   16, . Carl Twofeathers Whitaker - I,      9,   17, . Write-in - James Lee  ,      0,   18, . Write-in - Basil Marceaux    ,      0,   19, . Write-in - Gary Nugent,      0,      ,                            ,       0
ANDERSON  ,              0006, Claxton             ,          2, CA      ,         ,               1, Constitutional Amendment                   , "November 2, 2010", State General,    1, . Yes                          ,   1462,    2, . No                                        ,    127,     ,                                          ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,      ,                            ,       0
ANDERSON  ,              0006, Claxton             ,          3, UH      ,        3,               1, U. S. House of Representatives District    , "November 2, 2010", State General,    1, . Chuck Fleischmann - R        ,   1086,    2, . John Wolfe - D                            ,    343,    3, . Don Barkman - I                        ,      7,    4, . Mark DeVol - I                 ,    140,    5, . Gregory C. Goodwin - I     ,     14,    6, . Robert Humphries - I         ,      6,    7, . Mo Kiah - I           ,      1,    8, . Savas T. Kyriakidis - I      ,     39,     ,                         ,      0,      ,                            ,       0
ANDERSON  ,              0006, Claxton             ,          4, TS      ,        5,               1, Tennessee Senate District                  , "November 2, 2010", State General,    1, . Randy McNally - R            ,   1421,     ,                                             ,      0,     ,                                          ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,      ,                            ,       0
ANDERSON  ,              0006, Claxton             ,          5, TH      ,       33,               1, Tennessee House of Representatives District, "November 2, 2010", State General,    1, . John D Ragan - R             ,   1029,    2, . Jim Hackworth - D                         ,    657,     ,                                          ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,      ,                            ,       0
ANDERSON  ,              0007, Clinton Middle      ,          1, GOV     ,         ,               1, Governor                                   , "November 2, 2010", State General,    1, . Bill Haslam - R              ,    271,    2, . Mike McWherter - D                        ,     84,    3, . Bayron Binkley - I                     ,      0,    4, . Brandon Dodds - I              ,      2,    5, . Samuel David Duck - I      ,      0,    6, . David Gatchell - I           ,      0,    7, . June Griffin - I      ,      1,    8, . Toni K. Hall - I             ,      0,    9, . Mike Knois - I        ,      0,    10, . Boyce T. McCall - I      ,       0
ANDERSON  ,              0007, Clinton Middle      ,          1, GOV     ,         ,              11, Governor                                   , "November 2, 2010", State General,   11, . Donald Ray McFolin - I       ,      0,   12, . Linda Kay Perry - I                       ,      0,   13, . James Reesor - I                       ,      1,   14, . Thomas Smith II - I            ,      0,   15, . Howard M. Switzer - I      ,      0,   16, . Carl Twofeathers Whitaker - I,      5,   17, . Write-in - James Lee  ,      0,   18, . Write-in - Basil Marceaux    ,      0,   19, . Write-in - Gary Nugent,      0,      ,                            ,       0
ANDERSON  ,              0007, Clinton Middle      ,          2, CA      ,         ,               1, Constitutional Amendment                   , "November 2, 2010", State General,    1, . Yes                          ,    298,    2, . No                                        ,     28,     ,                                          ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,      ,                            ,       0
ANDERSON  ,              0007, Clinton Middle      ,          3, UH      ,        3,               1, U. S. House of Representatives District    , "November 2, 2010", State General,    1, . Chuck Fleischmann - R        ,    236,    2, . John Wolfe - D                            ,     78,    3, . Don Barkman - I                        ,      1,    4, . Mark DeVol - I                 ,     24,    5, . Gregory C. Goodwin - I     ,      1,    6, . Robert Humphries - I         ,      2,    7, . Mo Kiah - I           ,      0,    8, . Savas T. Kyriakidis - I      ,      5,     ,                         ,      0,      ,                            ,       0
ANDERSON  ,              0007, Clinton Middle      ,          4, TS      ,        5,               1, Tennessee Senate District                  , "November 2, 2010", State General,    1, . Randy McNally - R            ,    283,     ,                                             ,      0,     ,                                          ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,      ,                            ,       0
ANDERSON  ,              0007, Clinton Middle      ,          5, TH      ,       33,               1, Tennessee House of Representatives District, "November 2, 2010", State General,    1, . John D Ragan - R             ,    209,    2, . Jim Hackworth - D                         ,    147,     ,                                          ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,      ,                            ,       0
ANDERSON  ,              0008, Clinch Valley       ,          1, GOV     ,         ,               1, Governor                                   , "November 2, 2010", State General,    1, . Bill Haslam - R              ,    619,    2, . Mike McWherter - D                        ,    166,    3, . Bayron Binkley - I                     ,      7,    4, . Brandon Dodds - I              ,      9,    5, . Samuel David Duck - I      ,      0,    6, . David Gatchell - I           ,      0,    7, . June Griffin - I      ,      2,    8, . Toni K. Hall - I             ,      0,    9, . Mike Knois - I        ,      0,    10, . Boyce T. McCall - I      ,       1
ANDERSON  ,              0008, Clinch Valley       ,          1, GOV     ,         ,              11, Governor                                   , "November 2, 2010", State General,   11, . Donald Ray McFolin - I       ,      0,   12, . Linda Kay Perry - I                       ,      0,   13, . James Reesor - I                       ,      1,   14, . Thomas Smith II - I            ,      0,   15, . Howard M. Switzer - I      ,      0,   16, . Carl Twofeathers Whitaker - I,      5,   17, . Write-in - James Lee  ,      0,   18, . Write-in - Basil Marceaux    ,      0,   19, . Write-in - Gary Nugent,      0,      ,                            ,       0
ANDERSON  ,              0008, Clinch Valley       ,          2, CA      ,         ,               1, Constitutional Amendment                   , "November 2, 2010", State General,    1, . Yes                          ,    683,    2, . No                                        ,     60,     ,                                          ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,      ,                            ,       0
ANDERSON  ,              0008, Clinch Valley       ,          3, UH      ,        3,               1, U. S. House of Representatives District    , "November 2, 2010", State General,    1, . Chuck Fleischmann - R        ,    468,    2, . John Wolfe - D                            ,    165,    3, . Don Barkman - I                        ,      4,    4, . Mark DeVol - I                 ,    116,    5, . Gregory C. Goodwin - I     ,      7,    6, . Robert Humphries - I         ,      3,    7, . Mo Kiah - I           ,      0,    8, . Savas T. Kyriakidis - I      ,     24,     ,                         ,      0,      ,                            ,       0
ANDERSON  ,              0008, Clinch Valley       ,          4, TS      ,        5,               1, Tennessee Senate District                  , "November 2, 2010", State General,    1, . Randy McNally - R            ,    671,     ,                                             ,      0,     ,                                          ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,      ,                            ,       0
ANDERSON  ,              0008, Clinch Valley       ,          5, TH      ,       33,               1, Tennessee House of Representatives District, "November 2, 2010", State General,    1, . John D Ragan - R             ,    502,    2, . Jim Hackworth - D                         ,    294,     ,                                          ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,      ,                            ,       0
ANDERSON  ,              0009, Dutch Valley        ,          1, GOV     ,         ,               1, Governor                                   , "November 2, 2010", State General,    1, . Bill Haslam - R              ,    415,    2, . Mike McWherter - D                        ,    109,    3, . Bayron Binkley - I                     ,      3,    4, . Brandon Dodds - I              ,      2,    5, . Samuel David Duck - I      ,      3,    6, . David Gatchell - I           ,      0,    7, . June Griffin - I      ,      3,    8, . Toni K. Hall - I             ,      2,    9, . Mike Knois - I        ,      0,    10, . Boyce T. McCall - I      ,       0
ANDERSON  ,              0009, Dutch Valley        ,          1, GOV     ,         ,              11, Governor                                   , "November 2, 2010", State General,   11, . Donald Ray McFolin - I       ,      0,   12, . Linda Kay Perry - I                       ,      0,   13, . James Reesor - I                       ,      2,   14, . Thomas Smith II - I            ,      1,   15, . Howard M. Switzer - I      ,      1,   16, . Carl Twofeathers Whitaker - I,      7,   17, . Write-in - James Lee  ,      0,   18, . Write-in - Basil Marceaux    ,      0,   19, . Write-in - Gary Nugent,      0,      ,                            ,       0
ANDERSON  ,              0009, Dutch Valley        ,          2, CA      ,         ,               1, Constitutional Amendment                   , "November 2, 2010", State General,    1, . Yes                          ,    472,    2, . No                                        ,     32,     ,                                          ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,      ,                            ,       0
ANDERSON  ,              0009, Dutch Valley        ,          3, UH      ,        3,               1, U. S. House of Representatives District    , "November 2, 2010", State General,    1, . Chuck Fleischmann - R        ,    331,    2, . John Wolfe - D                            ,    119,    3, . Don Barkman - I                        ,      3,    4, . Mark DeVol - I                 ,     44,    5, . Gregory C. Goodwin - I     ,      1,    6, . Robert Humphries - I         ,      4,    7, . Mo Kiah - I           ,      1,    8, . Savas T. Kyriakidis - I      ,      7,     ,                         ,      0,      ,                            ,       0
ANDERSON  ,              0009, Dutch Valley        ,          4, TS      ,        5,               1, Tennessee Senate District                  , "November 2, 2010", State General,    1, . Randy McNally - R            ,    434,     ,                                             ,      0,     ,                                          ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,      ,                            ,       0
ANDERSON  ,              0009, Dutch Valley        ,          5, TH      ,       33,               1, Tennessee House of Representatives District, "November 2, 2010", State General,    1, . John D Ragan - R             ,    293,    2, . Jim Hackworth - D                         ,    251,     ,                                          ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,      ,                            ,       0
ANDERSON  ,              0010, Emory Valley        ,          1, GOV     ,         ,               1, Governor                                   , "November 2, 2010", State General,    1, . Bill Haslam - R              ,    966,    2, . Mike McWherter - D                        ,    351,    3, . Bayron Binkley - I                     ,      1,    4, . Brandon Dodds - I              ,      2,    5, . Samuel David Duck - I      ,      3,    6, . David Gatchell - I           ,      0,    7, . June Griffin - I      ,      1,    8, . Toni K. Hall - I             ,      0,    9, . Mike Knois - I        ,      0,    10, . Boyce T. McCall - I      ,       0
ANDERSON  ,              0010, Emory Valley        ,          1, GOV     ,         ,              11, Governor                                   , "November 2, 2010", State General,   11, . Donald Ray McFolin - I       ,      0,   12, . Linda Kay Perry - I                       ,      0,   13, . James Reesor - I                       ,      0,   14, . Thomas Smith II - I            ,      1,   15, . Howard M. Switzer - I      ,      1,   16, . Carl Twofeathers Whitaker - I,      5,   17, . Write-in - James Lee  ,      0,   18, . Write-in - Basil Marceaux    ,      0,   19, . Write-in - Gary Nugent,      0,      ,                            ,       0
ANDERSON  ,              0010, Emory Valley        ,          2, CA      ,         ,               1, Constitutional Amendment                   , "November 2, 2010", State General,    1, . Yes                          ,    991,    2, . No                                        ,    230,     ,                                          ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,      ,                            ,       0
ANDERSON  ,              0010, Emory Valley        ,          3, UH      ,        3,               1, U. S. House of Representatives District    , "November 2, 2010", State General,    1, . Chuck Fleischmann - R        ,    716,    2, . John Wolfe - D                            ,    470,    3, . Don Barkman - I                        ,     10,    4, . Mark DeVol - I                 ,     67,    5, . Gregory C. Goodwin - I     ,      1,    6, . Robert Humphries - I         ,      5,    7, . Mo Kiah - I           ,      0,    8, . Savas T. Kyriakidis - I      ,     21,     ,                         ,      0,      ,                            ,       0
ANDERSON  ,              0010, Emory Valley        ,          4, TS      ,        5,               1, Tennessee Senate District                  , "November 2, 2010", State General,    1, . Randy McNally - R            ,   1103,     ,                                             ,      0,     ,                                          ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,      ,                            ,       0
ANDERSON  ,              0010, Emory Valley        ,          5, TH      ,       33,               1, Tennessee House of Representatives District, "November 2, 2010", State General,    1, . John D Ragan - R             ,    683,    2, . Jim Hackworth - D                         ,    625,     ,                                          ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,      ,                            ,       0
ANDERSON  ,              0011, Fairview            ,          1, GOV     ,         ,               1, Governor                                   , "November 2, 2010", State General,    1, . Bill Haslam - R              ,    477,    2, . Mike McWherter - D                        ,    137,    3, . Bayron Binkley - I                     ,      2,    4, . Brandon Dodds - I              ,      0,    5, . Samuel David Duck - I      ,      4,    6, . David Gatchell - I           ,      1,    7, . June Griffin - I      ,      5,    8, . Toni K. Hall - I             ,      0,    9, . Mike Knois - I        ,      1,    10, . Boyce T. McCall - I      ,       0
ANDERSON  ,              0011, Fairview            ,          1, GOV     ,         ,              11, Governor                                   , "November 2, 2010", State General,   11, . Donald Ray McFolin - I       ,      0,   12, . Linda Kay Perry - I                       ,      1,   13, . James Reesor - I                       ,      0,   14, . Thomas Smith II - I            ,      0,   15, . Howard M. Switzer - I      ,      0,   16, . Carl Twofeathers Whitaker - I,     11,   17, . Write-in - James Lee  ,      0,   18, . Write-in - Basil Marceaux    ,      0,   19, . Write-in - Gary Nugent,      0,      ,                            ,       0
ANDERSON  ,              0011, Fairview            ,          2, CA      ,         ,               1, Constitutional Amendment                   , "November 2, 2010", State General,    1, . Yes                          ,    548,    2, . No                                        ,     29,     ,                                          ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,      ,                            ,       0
