COUNTY    , PRECINCT                   , PRCTSEQ, BALSEQID, JURISID, CANDGROUP, OFFICENAME                                       , ELECTDATE , COL1HDG, RNAME1                              , PARTY1     , PVTALLY1, COL2HDG, RNAME2                        , PARTY2     , PVTALLY2, COL3HDG, RNAME3                                , PARTY3     , PVTALLY3, COL4HDG, RNAME4                                   , PARTY4     , PVTALLY4, COL5HDG, RNAME5                     , PARTY5     , PVTALLY5, COL6HDG, RNAME6      , PARTY6     , PVTALLY6, COL7HDG, RNAME7          , PARTY7     , PVTALLY7, COL8HDG, RNAME8        , PARTY8     , PVTALLY8, COL9HDG, RNAME9          , PARTY9     , PVTALLY9, COL10HDG, RNAME10              , PARTY10    , PVTALLY10
Anderson  , Briceville                 ,    0002,     0011,       3,         0, United States House of Representatives District 3, 2020-11-03,       1, Chuck Fleischmann                   , Republican ,      311,       2, Meg Gorman                    , Democratic ,       59,       3, Amber L. Hysell                       , Independent,        1,       4, Keith Douglas Sweitzer                   , Independent,        5,       5, Write-In - Scott D. James  ,            ,        0,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Anderson  , Briceville                 ,    0002,     0017,      33,         0, Tennessee House of Representatives District 33   , 2020-11-03,       1, John D Ragan                        , Republican ,      324,        ,                               ,            ,         ,        ,                                       ,            ,         ,        ,                                          ,            ,         ,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Anderson  , Bull Run                   ,    0003,     0003,       0,         1, United States President                          , 2020-11-03,       1, Donald J. Trump                     , Republican ,     1692,       2, Joseph R. Biden               , Democratic ,      567,       3, Don Blankenship                       , Independent,        3,       4, " ""Roque """"Rocky"""" De La Fuente""  ", Independent,        0,       5, Howie Hawkins              , Independent,        3,       6, Jo Jorgensen, Independent,       29,       7, Alyson Kennedy  , Independent,        1,       8, Gloria La Riva, Independent,        1,       9, Kanye West      , Independent,        1,       10, Write-In - R19 Boddie,            ,         0
Anderson  , Bull Run                   ,    0003,     0003,       0,         2, United States President                          , 2020-11-03,      11, Write-In - Brian Carroll            ,            ,        0,      12, Write-In - Tom Hoefling       ,            ,        0,      13, Write-In - Jade Simmons               ,            ,        0,      14, Write-In - Kasey Wells                   ,            ,        0,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Anderson  , Bull Run                   ,    0003,     0007,       0,         1, United States Senate                             , 2020-11-03,       1, Bill Hagerty                        , Republican ,     1677,       2, Marquita Bradshaw             , Democratic ,      526,       3, " ""Yomi """"Fapas"""" Faparusi Sr.""", Independent,        5,       4, Jeffrey Alan Grunau                      , Independent,        2,       5, Ronnie Henley              , Independent,        4,       6, G. Dean Hill, Independent,        1,       7, Steven J. Hooper, Independent,        8,       8, Aaron James   , Independent,        5,       9, Elizabeth McLeod, Independent,       12,       10, Kacey Morgan         , Independent,         2
Anderson  , Bull Run                   ,    0003,     0007,       0,         2, United States Senate                             , 2020-11-03,      11, Eric William Stansberry             , Independent,        3,      12, Write-In - John A. Gentry     ,            ,        0,      13, Write-In - Al Green                   ,            ,        0,        ,                                          ,            ,         ,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Anderson  , Bull Run                   ,    0003,     0011,       3,         0, United States House of Representatives District 3, 2020-11-03,       1, Chuck Fleischmann                   , Republican ,     1671,       2, Meg Gorman                    , Democratic ,      514,       3, Amber L. Hysell                       , Independent,       27,       4, Keith Douglas Sweitzer                   , Independent,       10,       5, Write-In - Scott D. James  ,            ,        0,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Anderson  , Bull Run                   ,    0003,     0017,      33,         0, Tennessee House of Representatives District 33   , 2020-11-03,       1, John D Ragan                        , Republican ,     1896,        ,                               ,            ,         ,        ,                                       ,            ,         ,        ,                                          ,            ,         ,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Anderson  , Clinton                    ,    0004,     0003,       0,         1, United States President                          , 2020-11-03,       1, Donald J. Trump                     , Republican ,     1548,       2, Joseph R. Biden               , Democratic ,      647,       3, Don Blankenship                       , Independent,        6,       4, " ""Roque """"Rocky"""" De La Fuente""  ", Independent,        0,       5, Howie Hawkins              , Independent,        2,       6, Jo Jorgensen, Independent,       18,       7, Alyson Kennedy  , Independent,        0,       8, Gloria La Riva, Independent,        1,       9, Kanye West      , Independent,        5,       10, Write-In - R19 Boddie,            ,         0
Anderson  , Clinton                    ,    0004,     0003,       0,         2, United States President                          , 2020-11-03,      11, Write-In - Brian Carroll            ,            ,        0,      12, Write-In - Tom Hoefling       ,            ,        0,      13, Write-In - Jade Simmons               ,            ,        0,      14, Write-In - Kasey Wells                   ,            ,        0,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Anderson  , Clinton                    ,    0004,     0007,       0,         1, United States Senate                             , 2020-11-03,       1, Bill Hagerty                        , Republican ,     1513,       2, Marquita Bradshaw             , Democratic ,      595,       3, " ""Yomi """"Fapas"""" Faparusi Sr.""", Independent,        9,       4, Jeffrey Alan Grunau                      , Independent,        2,       5, Ronnie Henley              , Independent,        4,       6, G. Dean Hill, Independent,        3,       7, Steven J. Hooper, Independent,        3,       8, Aaron James   , Independent,        0,       9, Elizabeth McLeod, Independent,       14,       10, Kacey Morgan         , Independent,         6
Anderson  , Clinton                    ,    0004,     0007,       0,         2, United States Senate                             , 2020-11-03,      11, Eric William Stansberry             , Independent,        3,      12, Write-In - John A. Gentry     ,            ,        0,      13, Write-In - Al Green                   ,            ,        0,        ,                                          ,            ,         ,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Anderson  , Clinton                    ,    0004,     0011,       3,         0, United States House of Representatives District 3, 2020-11-03,       1, Chuck Fleischmann                   , Republican ,     1553,       2, Meg Gorman                    , Democratic ,      546,       3, Amber L. Hysell                       , Independent,       28,       4, Keith Douglas Sweitzer                   , Independent,       10,       5, Write-In - Scott D. James  ,            ,        0,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Anderson  , Clinton                    ,    0004,     0017,      33,         0, Tennessee House of Representatives District 33   , 2020-11-03,       1, John D Ragan                        , Republican ,     1749,        ,                               ,            ,         ,        ,                                       ,            ,         ,        ,                                          ,            ,         ,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Anderson  , Clinton High               ,    0005,     0003,       0,         1, United States President                          , 2020-11-03,       1, Donald J. Trump                     , Republican ,      962,       2, Joseph R. Biden               , Democratic ,      366,       3, Don Blankenship                       , Independent,        4,       4, " ""Roque """"Rocky"""" De La Fuente""  ", Independent,        1,       5, Howie Hawkins              , Independent,        1,       6, Jo Jorgensen, Independent,        7,       7, Alyson Kennedy  , Independent,        0,       8, Gloria La Riva, Independent,        0,       9, Kanye West      , Independent,        0,       10, Write-In - R19 Boddie,            ,         0
Anderson  , Clinton High               ,    0005,     0003,       0,         2, United States President                          , 2020-11-03,      11, Write-In - Brian Carroll            ,            ,        0,      12, Write-In - Tom Hoefling       ,            ,        0,      13, Write-In - Jade Simmons               ,            ,        0,      14, Write-In - Kasey Wells                   ,            ,        0,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Anderson  , Clinton High               ,    0005,     0007,       0,         1, United States Senate                             , 2020-11-03,       1, Bill Hagerty                        , Republican ,      943,       2, Marquita Bradshaw             , Democratic ,      328,       3, " ""Yomi """"Fapas"""" Faparusi Sr.""", Independent,        2,       4, Jeffrey Alan Grunau                      , Independent,        1,       5, Ronnie Henley              , Independent,        2,       6, G. Dean Hill, Independent,        1,       7, Steven J. Hooper, Independent,        3,       8, Aaron James   , Independent,        1,       9, Elizabeth McLeod, Independent,        6,       10, Kacey Morgan         , Independent,         2
Anderson  , Clinton High               ,    0005,     0007,       0,         2, United States Senate                             , 2020-11-03,      11, Eric William Stansberry             , Independent,        3,      12, Write-In - John A. Gentry     ,            ,        0,      13, Write-In - Al Green                   ,            ,        0,        ,                                          ,            ,         ,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Anderson  , Clinton High               ,    0005,     0011,       3,         0, United States House of Representatives District 3, 2020-11-03,       1, Chuck Fleischmann                   , Republican ,      941,       2, Meg Gorman                    , Democratic ,      325,       3, Amber L. Hysell                       , Independent,       14,       4, Keith Douglas Sweitzer                   , Independent,        5,       5, Write-In - Scott D. James  ,            ,        0,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Anderson  , Clinton High               ,    0005,     0017,      33,         0, Tennessee House of Representatives District 33   , 2020-11-03,       1, John D Ragan                        , Republican ,     1084,        ,                               ,            ,         ,        ,                                       ,            ,         ,        ,                                          ,            ,         ,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Anderson  , Claxton                    ,    0006,     0003,       0,         1, United States President                          , 2020-11-03,       1, Donald J. Trump                     , Republican ,     1637,       2, Joseph R. Biden               , Democratic ,      520,       3, Don Blankenship                       , Independent,        5,       4, " ""Roque """"Rocky"""" De La Fuente""  ", Independent,        0,       5, Howie Hawkins              , Independent,        3,       6, Jo Jorgensen, Independent,       22,       7, Alyson Kennedy  , Independent,        5,       8, Gloria La Riva, Independent,        0,       9, Kanye West      , Independent,        6,       10, Write-In - R19 Boddie,            ,         0
Anderson  , Claxton                    ,    0006,     0003,       0,         2, United States President                          , 2020-11-03,      11, Write-In - Brian Carroll            ,            ,        0,      12, Write-In - Tom Hoefling       ,            ,        1,      13, Write-In - Jade Simmons               ,            ,        0,      14, Write-In - Kasey Wells                   ,            ,        0,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Anderson  , Claxton                    ,    0006,     0007,       0,         1, United States Senate                             , 2020-11-03,       1, Bill Hagerty                        , Republican ,     1622,       2, Marquita Bradshaw             , Democratic ,      484,       3, " ""Yomi """"Fapas"""" Faparusi Sr.""", Independent,        6,       4, Jeffrey Alan Grunau                      , Independent,        3,       5, Ronnie Henley              , Independent,        2,       6, G. Dean Hill, Independent,        4,       7, Steven J. Hooper, Independent,        0,       8, Aaron James   , Independent,        3,       9, Elizabeth McLeod, Independent,       12,       10, Kacey Morgan         , Independent,         2
Anderson  , Claxton                    ,    0006,     0007,       0,         2, United States Senate                             , 2020-11-03,      11, Eric William Stansberry             , Independent,        3,      12, Write-In - John A. Gentry     ,            ,        0,      13, Write-In - Al Green                   ,            ,        0,        ,                                          ,            ,         ,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Anderson  , Claxton                    ,    0006,     0011,       3,         0, United States House of Representatives District 3, 2020-11-03,       1, Chuck Fleischmann                   , Republican ,     1609,       2, Meg Gorman                    , Democratic ,      463,       3, Amber L. Hysell                       , Independent,       39,       4, Keith Douglas Sweitzer                   , Independent,        7,       5, Write-In - Scott D. James  ,            ,        0,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Anderson  , Claxton                    ,    0006,     0017,      33,         0, Tennessee House of Representatives District 33   , 2020-11-03,       1, John D Ragan                        , Republican ,     1804,        ,                               ,            ,         ,        ,                                       ,            ,         ,        ,                                          ,            ,         ,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Anderson  , Clinton Middle             ,    0007,     0003,       0,         1, United States President                          , 2020-11-03,       1, Donald J. Trump                     , Republican ,      533,       2, Joseph R. Biden               , Democratic ,      124,       3, Don Blankenship                       , Independent,        1,       4, " ""Roque """"Rocky"""" De La Fuente""  ", Independent,        0,       5, Howie Hawkins              , Independent,        0,       6, Jo Jorgensen, Independent,        4,       7, Alyson Kennedy  , Independent,        0,       8, Gloria La Riva, Independent,        0,       9, Kanye West      , Independent,        3,       10, Write-In - R19 Boddie,            ,         0
Anderson  , Clinton Middle             ,    0007,     0003,       0,         2, United States President                          , 2020-11-03,      11, Write-In - Brian Carroll            ,            ,        0,      12, Write-In - Tom Hoefling       ,            ,        0,      13, Write-In - Jade Simmons               ,            ,        0,      14, Write-In - Kasey Wells                   ,            ,        0,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Anderson  , Clinton Middle             ,    0007,     0007,       0,         1, United States Senate                             , 2020-11-03,       1, Bill Hagerty                        , Republican ,      530,       2, Marquita Bradshaw             , Democratic ,      103,       3, " ""Yomi """"Fapas"""" Faparusi Sr.""", Independent,        0,       4, Jeffrey Alan Grunau                      , Independent,        2,       5, Ronnie Henley              , Independent,        1,       6, G. Dean Hill, Independent,        1,       7, Steven J. Hooper, Independent,        1,       8, Aaron James   , Independent,        1,       9, Elizabeth McLeod, Independent,        1,       10, Kacey Morgan         , Independent,         0
Anderson  , Clinton Middle             ,    0007,     0007,       0,         2, United States Senate                             , 2020-11-03,      11, Eric William Stansberry             , Independent,        4,      12, Write-In - John A. Gentry     ,            ,        0,      13, Write-In - Al Green                   ,            ,        0,        ,                                          ,            ,         ,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Anderson  , Clinton Middle             ,    0007,     0011,       3,         0, United States House of Representatives District 3, 2020-11-03,       1, Chuck Fleischmann                   , Republican ,      522,       2, Meg Gorman                    , Democratic ,      107,       3, Amber L. Hysell                       , Independent,        5,       4, Keith Douglas Sweitzer                   , Independent,        4,       5, Write-In - Scott D. James  ,            ,        0,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Anderson  , Clinton Middle             ,    0007,     0017,      33,         0, Tennessee House of Representatives District 33   , 2020-11-03,       1, John D Ragan                        , Republican ,      575,        ,                               ,            ,         ,        ,                                       ,            ,         ,        ,                                          ,            ,         ,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Anderson  , Dutch Valley               ,    0008,     0003,       0,         1, United States President                          , 2020-11-03,       1, Donald J. Trump                     , Republican ,      344,       2, Joseph R. Biden               , Democratic ,       69,       3, Don Blankenship                       , Independent,        0,       4, " ""Roque """"Rocky"""" De La Fuente""  ", Independent,        0,       5, Howie Hawkins              , Independent,        0,       6, Jo Jorgensen, Independent,        4,       7, Alyson Kennedy  , Independent,        0,       8, Gloria La Riva, Independent,        0,       9, Kanye West      , Independent,        1,       10, Write-In - R19 Boddie,            ,         0
Anderson  , Dutch Valley               ,    0008,     0003,       0,         2, United States President                          , 2020-11-03,      11, Write-In - Brian Carroll            ,            ,        0,      12, Write-In - Tom Hoefling       ,            ,        0,      13, Write-In - Jade Simmons               ,            ,        0,      14, Write-In - Kasey Wells                   ,            ,        0,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Anderson  , Dutch Valley               ,    0008,     0007,       0,         1, United States Senate                             , 2020-11-03,       1, Bill Hagerty                        , Republican ,      329,       2, Marquita Bradshaw             , Democratic ,       70,       3, " ""Yomi """"Fapas"""" Faparusi Sr.""", Independent,        0,       4, Jeffrey Alan Grunau                      , Independent,        0,       5, Ronnie Henley              , Independent,        0,       6, G. Dean Hill, Independent,        1,       7, Steven J. Hooper, Independent,        0,       8, Aaron James   , Independent,        0,       9, Elizabeth McLeod, Independent,        2,       10, Kacey Morgan         , Independent,         0
Anderson  , Dutch Valley               ,    0008,     0007,       0,         2, United States Senate                             , 2020-11-03,      11, Eric William Stansberry             , Independent,        0,      12, Write-In - John A. Gentry     ,            ,        0,      13, Write-In - Al Green                   ,            ,        0,        ,                                          ,            ,         ,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Anderson  , Dutch Valley               ,    0008,     0011,       3,         0, United States House of Representatives District 3, 2020-11-03,       1, Chuck Fleischmann                   , Republican ,      327,       2, Meg Gorman                    , Democratic ,       66,       3, Amber L. Hysell                       , Independent,        4,       4, Keith Douglas Sweitzer                   , Independent,        1,       5, Write-In - Scott D. James  ,            ,        0,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Anderson  , Dutch Valley               ,    0008,     0017,      33,         0, Tennessee House of Representatives District 33   , 2020-11-03,       1, John D Ragan                        , Republican ,      335,        ,                               ,            ,         ,        ,                                       ,            ,         ,        ,                                          ,            ,         ,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Anderson  , Emory Valley               ,    0009,     0003,       0,         1, United States President                          , 2020-11-03,       1, Donald J. Trump                     , Republican ,     1077,       2, Joseph R. Biden               , Democratic ,     1151,       3, Don Blankenship                       , Independent,        4,       4, " ""Roque """"Rocky"""" De La Fuente""  ", Independent,        0,       5, Howie Hawkins              , Independent,        8,       6, Jo Jorgensen, Independent,       37,       7, Alyson Kennedy  , Independent,        0,       8, Gloria La Riva, Independent,        1,       9, Kanye West      , Independent,        7,       10, Write-In - R19 Boddie,            ,         0
Anderson  , Emory Valley               ,    0009,     0003,       0,         2, United States President                          , 2020-11-03,      11, Write-In - Brian Carroll            ,            ,        2,      12, Write-In - Tom Hoefling       ,            ,        0,      13, Write-In - Jade Simmons               ,            ,        0,      14, Write-In - Kasey Wells                   ,            ,        0,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Anderson  , Emory Valley               ,    0009,     0007,       0,         1, United States Senate                             , 2020-11-03,       1, Bill Hagerty                        , Republican ,     1145,       2, Marquita Bradshaw             , Democratic ,     1031,       3, " ""Yomi """"Fapas"""" Faparusi Sr.""", Independent,       12,       4, Jeffrey Alan Grunau                      , Independent,       10,       5, Ronnie Henley              , Independent,        7,       6, G. Dean Hill, Independent,        6,       7, Steven J. Hooper, Independent,        4,       8, Aaron James   , Independent,        1,       9, Elizabeth McLeod, Independent,       15,       10, Kacey Morgan         , Independent,         0
Anderson  , Emory Valley               ,    0009,     0007,       0,         2, United States Senate                             , 2020-11-03,      11, Eric William Stansberry             , Independent,        2,      12, Write-In - John A. Gentry     ,            ,        0,      13, Write-In - Al Green                   ,            ,        0,        ,                                          ,            ,         ,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Anderson  , Emory Valley               ,    0009,     0011,       3,         0, United States House of Representatives District 3, 2020-11-03,       1, Chuck Fleischmann                   , Republican ,     1208,       2, Meg Gorman                    , Democratic ,      984,       3, Amber L. Hysell                       , Independent,       30,       4, Keith Douglas Sweitzer                   , Independent,       12,       5, Write-In - Scott D. James  ,            ,        0,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Anderson  , Emory Valley               ,    0009,     0017,      33,         0, Tennessee House of Representatives District 33   , 2020-11-03,       1, John D Ragan                        , Republican ,     1519,        ,                               ,            ,         ,        ,                                       ,            ,         ,        ,                                          ,            ,         ,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Anderson  , Fairview                   ,    0010,     0003,       0,         1, United States President                          , 2020-11-03,       1, Donald J. Trump                     , Republican ,      680,       2, Joseph R. Biden               , Democratic ,      134,       3, Don Blankenship                       , Independent,        0,       4, " ""Roque """"Rocky"""" De La Fuente""  ", Independent,        0,       5, Howie Hawkins              , Independent,        1,       6, Jo Jorgensen, Independent,        4,       7, Alyson Kennedy  , Independent,        1,       8, Gloria La Riva, Independent,        0,       9, Kanye West      , Independent,        1,       10, Write-In - R19 Boddie,            ,         0
Anderson  , Fairview                   ,    0010,     0003,       0,         2, United States President                          , 2020-11-03,      11, Write-In - Brian Carroll            ,            ,        0,      12, Write-In - Tom Hoefling       ,            ,        0,      13, Write-In - Jade Simmons               ,            ,        0,      14, Write-In - Kasey Wells                   ,            ,        0,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Anderson  , Fairview                   ,    0010,     0007,       0,         1, United States Senate                             , 2020-11-03,       1, Bill Hagerty                        , Republican ,      661,       2, Marquita Bradshaw             , Democratic ,      129,       3, " ""Yomi """"Fapas"""" Faparusi Sr.""", Independent,        0,       4, Jeffrey Alan Grunau                      , Independent,        1,       5, Ronnie Henley              , Independent,        1,       6, G. Dean Hill, Independent,        2,       7, Steven J. Hooper, Independent,        0,       8, Aaron James   , Independent,        0,       9, Elizabeth McLeod, Independent,        1,       10, Kacey Morgan         , Independent,         0
Anderson  , Fairview                   ,    0010,     0007,       0,         2, United States Senate                             , 2020-11-03,      11, Eric William Stansberry             , Independent,        3,      12, Write-In - John A. Gentry     ,            ,        0,      13, Write-In - Al Green                   ,            ,        0,        ,                                          ,            ,         ,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
