COUNTY    , PRECINCT                   , PRCTSEQ, BALSEQID, JURISID, CANDGROUP, OFFICENAME                                       , ELECTDATE , COL1HDG, RNAME1                              , PARTY1     , PVTALLY1, COL2HDG, RNAME2                        , PARTY2     , PVTALLY2, COL3HDG, RNAME3                                , PARTY3     , PVTALLY3, COL4HDG, RNAME4                                   , PARTY4     , PVTALLY4, COL5HDG, RNAME5                     , PARTY5     , PVTALLY5, COL6HDG, RNAME6      , PARTY6     , PVTALLY6, COL7HDG, RNAME7          , PARTY7     , PVTALLY7, COL8HDG, RNAME8        , PARTY8     , PVTALLY8, COL9HDG, RNAME9          , PARTY9     , PVTALLY9, COL10HDG, RNAME10              , PARTY10    , PVTALLY10
Anderson  , Andersonville              ,    0001,     0003,       0,         1, United States President                          , 2020-11-03,       1, Donald J. Trump                     , Republican ,     1554,       2, Joseph R. Biden               , Democratic ,      307,       3, Don Blankenship                       , Independent,        1,       4, " ""Roque """"Rocky"""" De La Fuente""  ", Independent,        0,       5, Howie Hawkins              , Independent,        2,       6, Jo Jorgensen, Independent,       13,       7, Alyson Kennedy  , Independent,        2,       8, Gloria La Riva, Independent,        0,       9, Kanye West      , Independent,        0,       10, Write-In - R19 Boddie,            ,         0
Anderson  , Andersonville              ,    0001,     0003,       0,         2, United States President                          , 2020-11-03,      11, Write-In - Brian Carroll            ,            ,        0,      12, Write-In - Tom Hoefling       ,            ,        0,      13, Write-In - Jade Simmons               ,            ,        0,      14, Write-In - Kasey Wells                   ,            ,        0,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Anderson  , Andersonville              ,    0001,     0007,       0,         1, United States Senate                             , 2020-11-03,       1, Bill Hagerty                        , Republican ,     1529,       2, Marquita Bradshaw             , Democratic ,      268,       3, " ""Yomi """"Fapas"""" Faparusi Sr.""", Independent,        2,       4, Jeffrey Alan Grunau                      , Independent,        3,       5, Ronnie Henley              , Independent,        5,       6, G. Dean Hill, Independent,        2,       7, Steven J. Hooper, Independent,        1,       8, Aaron James   , Independent,        2,       9, Elizabeth McLeod, Independent,        7,       10, Kacey Morgan         , Independent,         2
Anderson  , Andersonville              ,    0001,     0007,       0,         2, United States Senate                             , 2020-11-03,      11, Eric William Stansberry             , Independent,        4,      12, Write-In - John A. Gentry     ,            ,        0,      13, Write-In - Al Green                   ,            ,        0,        ,                                          ,            ,         ,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Anderson  , Andersonville              ,    0001,     0011,       3,         0, United States House of Representatives District 3, 2020-11-03,       1, Chuck Fleischmann                   , Republican ,     1507,       2, Meg Gorman                    , Democratic ,      265,       3, Amber L. Hysell                       , Independent,       17,       4, Keith Douglas Sweitzer                   , Independent,       12,       5, Write-In - Scott D. James  ,            ,        0,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Anderson  , Andersonville              ,    0001,     0017,      36,         0, Tennessee House of Representatives District 36   , 2020-11-03,       1, Dennis Powers                       , Republican ,     1528,       2, CJ Mitchell                   , Democratic ,      267,        ,                                       ,            ,         ,        ,                                          ,            ,         ,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Anderson  , Briceville                 ,    0002,     0003,       0,         1, United States President                          , 2020-11-03,       1, Donald J. Trump                     , Republican ,      333,       2, Joseph R. Biden               , Democratic ,       64,       3, Don Blankenship                       , Independent,        0,       4, " ""Roque """"Rocky"""" De La Fuente""  ", Independent,        0,       5, Howie Hawkins              , Independent,        0,       6, Jo Jorgensen, Independent,        0,       7, Alyson Kennedy  , Independent,        0,       8, Gloria La Riva, Independent,        0,       9, Kanye West      , Independent,        0,       10, Write-In - R19 Boddie,            ,         0
Anderson  , Briceville                 ,    0002,     0003,       0,         2, United States President                          , 2020-11-03,      11, Write-In - Brian Carroll            ,            ,        0,      12, Write-In - Tom Hoefling       ,            ,        0,      13, Write-In - Jade Simmons               ,            ,        0,      14, Write-In - Kasey Wells                   ,            ,        0,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Anderson  , Briceville                 ,    0002,     0007,       0,         1, United States Senate                             , 2020-11-03,       1, Bill Hagerty                        , Republican ,      317,       2, Marquita Bradshaw             , Democratic ,       58,       3, " ""Yomi """"Fapas"""" Faparusi Sr.""", Independent,        1,       4, Jeffrey Alan Grunau                      , Independent,        1,       5, Ronnie Henley              , Independent,        2,       6, G. Dean Hill, Independent,        0,       7, Steven J. Hooper, Independent,        0,       8, Aaron James   , Independent,        2,       9, Elizabeth McLeod, Independent,        1,       10, Kacey Morgan         , Independent,         1
Anderson  , Briceville                 ,    0002,     0007,       0,         2, United States Senate                             , 2020-11-03,      11, Eric William Stansberry             , Independent,        1,      12, Write-In - John A. Gentry     ,            ,        0,      13, Write-In - Al Green                   ,            ,        0,        ,                                          ,            ,         ,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
