COUNTY, PRECINCT, Precinct Sequence   , Office Seq, OfficeID, District, Candidate Group                            , OFFICENAME     , ELECTDATE, ELECTTYPE    , Col1, BName1                                  , Tally1, Col2, BName2                                               , Tally2, Col3, BName3                                   , Tally3, Col4, BName4                           , Tally4, Col5, BName5                  , Tally5, Col6, BName6                         , Tally6, Col7, BName7                  , Tally7, Col8, BName8                                  , Tally8, Col9, BName9                  , Tally9, Col10, BName10                    , Tally10
  0009,        4, 4-2 Michigan Ave    , TS        ,        9,        1, Tennessee Senate District                  , " ""November 2", " 2010""", State General,    1, . Mike Bell - R                         ,   1361,     ,                                                      ,      0,     ,                                          ,      0,     ,                                  ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                         ,      0,     ,                         ,      0,      ,                            ,       0
  0009,        5, 4-2 Michigan Ave    , TH        ,       22,        1, Tennessee House of Representatives District, " ""November 2", " 2010""", State General,    1, . Eric Watson - R                       ,   1389,     ,                                                      ,      0,     ,                                          ,      0,     ,                                  ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                         ,      0,     ,                         ,      0,      ,                            ,       0
  0010,        1, 5-1 Blythe/Bower    , GOV       ,         ,        1, Governor                                   , " ""November 2", " 2010""", State General,    1, . Bill Haslam - R                       ,    873,    2, . Mike McWherter - D                                 ,    229,    3, . Bayron Binkley - I                     ,      2,    4, . Brandon Dodds - I              ,     11,    5, . Samuel David Duck - I ,      0,    6, . David Gatchell - I           ,      0,    7, . June Griffin - I      ,      5,    8, . Toni K. Hall - I                      ,      1,    9, . Mike Knois - I        ,      0,    10, . Boyce T. McCall - I      ,       2
  0010,        1, 5-1 Blythe/Bower    , GOV       ,         ,       11, Governor                                   , " ""November 2", " 2010""", State General,   11, . Donald Ray McFolin - I                ,      1,   12, . Linda Kay Perry - I                                ,      1,   13, . James Reesor - I                       ,      1,   14, . Thomas Smith II - I            ,      1,   15, . Howard M. Switzer - I ,      1,   16, . Carl Twofeathers Whitaker - I,      4,   17, . Write-in - James Lee  ,      0,   18, . Write-in - Basil Marceaux             ,      0,   19, . Write-in - Gary Nugent,      0,      ,                            ,       0
  0010,        2, 5-1 Blythe/Bower    , CA        ,         ,        1, Constitutional Amendment                   , " ""November 2", " 2010""", State General,    1, . Yes                                   ,    933,    2, . No                                                 ,     51,     ,                                          ,      0,     ,                                  ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                         ,      0,     ,                         ,      0,      ,                            ,       0
  0010,        3, 5-1 Blythe/Bower    , UH        ,        3,        1, U. S. House of Representatives District    , " ""November 2", " 2010""", State General,    1, . Chuck Fleischmann - R                 ,    761,    2, . John Wolfe - D                                     ,    229,    3, . Don Barkman - I                        ,      3,    4, . Mark DeVol - I                 ,     57,    5, . Gregory C. Goodwin - I,      6,    6, . Robert Humphries - I         ,      4,    7, . Mo Kiah - I           ,      1,    8, . Savas T. Kyriakidis - I               ,     45,     ,                         ,      0,      ,                            ,       0
  0010,        4, 5-1 Blythe/Bower    , TS        ,        9,        1, Tennessee Senate District                  , " ""November 2", " 2010""", State General,    1, . Mike Bell - R                         ,    903,     ,                                                      ,      0,     ,                                          ,      0,     ,                                  ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                         ,      0,     ,                         ,      0,      ,                            ,       0
  0010,        5, 5-1 Blythe/Bower    , TH        ,       24,        1, Tennessee House of Representatives District, " ""November 2", " 2010""", State General,    1, . Kevin D. Brooks - R                   ,    860,     ,                                                      ,      0,     ,                                          ,      0,     ,                                  ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                         ,      0,     ,                         ,      0,      ,                            ,       0
  0011,        1, 5-2 Community Serv  , GOV       ,         ,        1, Governor                                   , " ""November 2", " 2010""", State General,    1, . Bill Haslam - R                       ,    297,    2, . Mike McWherter - D                                 ,    134,    3, . Bayron Binkley - I                     ,      0,    4, . Brandon Dodds - I              ,      0,    5, . Samuel David Duck - I ,      0,    6, . David Gatchell - I           ,      1,    7, . June Griffin - I      ,      1,    8, . Toni K. Hall - I                      ,      0,    9, . Mike Knois - I        ,      1,    10, . Boyce T. McCall - I      ,       1
  0011,        1, 5-2 Community Serv  , GOV       ,         ,       11, Governor                                   , " ""November 2", " 2010""", State General,   11, . Donald Ray McFolin - I                ,      0,   12, . Linda Kay Perry - I                                ,      0,   13, . James Reesor - I                       ,      0,   14, . Thomas Smith II - I            ,      0,   15, . Howard M. Switzer - I ,      0,   16, . Carl Twofeathers Whitaker - I,      2,   17, . Write-in - James Lee  ,      0,   18, . Write-in - Basil Marceaux             ,      0,   19, . Write-in - Gary Nugent,      0,      ,                            ,       0
  0011,        2, 5-2 Community Serv  , CA        ,         ,        1, Constitutional Amendment                   , " ""November 2", " 2010""", State General,    1, . Yes                                   ,    309,    2, . No                                                 ,     18,     ,                                          ,      0,     ,                                  ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                         ,      0,     ,                         ,      0,      ,                            ,       0
  0011,        3, 5-2 Community Serv  , UH        ,        3,        1, U. S. House of Representatives District    , " ""November 2", " 2010""", State General,    1, . Chuck Fleischmann - R                 ,    236,    2, . John Wolfe - D                                     ,    151,    3, . Don Barkman - I                        ,      1,    4, . Mark DeVol - I                 ,      7,    5, . Gregory C. Goodwin - I,      1,    6, . Robert Humphries - I         ,      3,    7, . Mo Kiah - I           ,      0,    8, . Savas T. Kyriakidis - I               ,     18,     ,                         ,      0,      ,                            ,       0
  0011,        4, 5-2 Community Serv  , TS        ,        9,        1, Tennessee Senate District                  , " ""November 2", " 2010""", State General,    1, . Mike Bell - R                         ,    301,     ,                                                      ,      0,     ,                                          ,      0,     ,                                  ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                         ,      0,     ,                         ,      0,      ,                            ,       0
  0011,        5, 5-2 Community Serv  , TH        ,       24,        1, Tennessee House of Representatives District, " ""November 2", " 2010""", State General,    1, . Kevin D. Brooks - R                   ,    290,     ,                                                      ,      0,     ,                                          ,      0,     ,                                  ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                         ,      0,     ,                         ,      0,      ,                            ,       0
  0012,        1, 6-1 Valley View     , GOV       ,         ,        1, Governor                                   , " ""November 2", " 2010""", State General,    1, . Bill Haslam - R                       ,    724,    2, . Mike McWherter - D                                 ,    128,    3, . Bayron Binkley - I                     ,      5,    4, . Brandon Dodds - I              ,      3,    5, . Samuel David Duck - I ,      1,    6, . David Gatchell - I           ,      1,    7, . June Griffin - I      ,      7,    8, . Toni K. Hall - I                      ,      1,    9, . Mike Knois - I        ,      0,    10, . Boyce T. McCall - I      ,       0
  0012,        1, 6-1 Valley View     , GOV       ,         ,       11, Governor                                   , " ""November 2", " 2010""", State General,   11, . Donald Ray McFolin - I                ,      0,   12, . Linda Kay Perry - I                                ,      0,   13, . James Reesor - I                       ,      0,   14, . Thomas Smith II - I            ,      0,   15, . Howard M. Switzer - I ,      0,   16, . Carl Twofeathers Whitaker - I,      3,   17, . Write-in - James Lee  ,      0,   18, . Write-in - Basil Marceaux             ,      0,   19, . Write-in - Gary Nugent,      0,      ,                            ,       0
  0012,        2, 6-1 Valley View     , CA        ,         ,        1, Constitutional Amendment                   , " ""November 2", " 2010""", State General,    1, . Yes                                   ,    738,    2, . No                                                 ,     41,     ,                                          ,      0,     ,                                  ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                         ,      0,     ,                         ,      0,      ,                            ,       0
  0012,        3, 6-1 Valley View     , UH        ,        3,        1, U. S. House of Representatives District    , " ""November 2", " 2010""", State General,    1, . Chuck Fleischmann - R                 ,    642,    2, . John Wolfe - D                                     ,    116,    3, . Don Barkman - I                        ,      6,    4, . Mark DeVol - I                 ,     28,    5, . Gregory C. Goodwin - I,      2,    6, . Robert Humphries - I         ,      2,    7, . Mo Kiah - I           ,      0,    8, . Savas T. Kyriakidis - I               ,     52,     ,                         ,      0,      ,                            ,       0
  0012,        4, 6-1 Valley View     , TS        ,        9,        1, Tennessee Senate District                  , " ""November 2", " 2010""", State General,    1, . Mike Bell - R                         ,    741,     ,                                                      ,      0,     ,                                          ,      0,     ,                                  ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                         ,      0,     ,                         ,      0,      ,                            ,       0
  0012,        5, 6-1 Valley View     , TH        ,       22,        1, Tennessee House of Representatives District, " ""November 2", " 2010""", State General,    1, . Eric Watson - R                       ,    728,     ,                                                      ,      0,     ,                                          ,      0,     ,                                  ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                         ,      0,     ,                         ,      0,      ,                            ,       0
  0013,        1, 6-2 Blue Springs    , GOV       ,         ,        1, Governor                                   , " ""November 2", " 2010""", State General,    1, . Bill Haslam - R                       ,    937,    2, . Mike McWherter - D                                 ,    154,    3, . Bayron Binkley - I                     ,      2,    4, . Brandon Dodds - I              ,      4,    5, . Samuel David Duck - I ,      0,    6, . David Gatchell - I           ,      0,    7, . June Griffin - I      ,      6,    8, . Toni K. Hall - I                      ,      0,    9, . Mike Knois - I        ,      0,    10, . Boyce T. McCall - I      ,       1
  0013,        1, 6-2 Blue Springs    , GOV       ,         ,       11, Governor                                   , " ""November 2", " 2010""", State General,   11, . Donald Ray McFolin - I                ,      0,   12, . Linda Kay Perry - I                                ,      0,   13, . James Reesor - I                       ,      0,   14, . Thomas Smith II - I            ,      1,   15, . Howard M. Switzer - I ,      0,   16, . Carl Twofeathers Whitaker - I,      4,   17, . Write-in - James Lee  ,      0,   18, . Write-in - Basil Marceaux             ,      0,   19, . Write-in - Gary Nugent,      0,      ,                            ,       0
  0013,        2, 6-2 Blue Springs    , CA        ,         ,        1, Constitutional Amendment                   , " ""November 2", " 2010""", State General,    1, . Yes                                   ,    916,    2, . No                                                 ,     72,     ,                                          ,      0,     ,                                  ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                         ,      0,     ,                         ,      0,      ,                            ,       0
  0013,        3, 6-2 Blue Springs    , UH        ,        3,        1, U. S. House of Representatives District    , " ""November 2", " 2010""", State General,    1, . Chuck Fleischmann - R                 ,    790,    2, . John Wolfe - D                                     ,    156,    3, . Don Barkman - I                        ,      6,    4, . Mark DeVol - I                 ,     46,    5, . Gregory C. Goodwin - I,      0,    6, . Robert Humphries - I         ,      3,    7, . Mo Kiah - I           ,      3,    8, . Savas T. Kyriakidis - I               ,     82,     ,                         ,      0,      ,                            ,       0
  0013,        4, 6-2 Blue Springs    , TS        ,        9,        1, Tennessee Senate District                  , " ""November 2", " 2010""", State General,    1, . Mike Bell - R                         ,    938,     ,                                                      ,      0,     ,                                          ,      0,     ,                                  ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                         ,      0,     ,                         ,      0,      ,                            ,       0
  0013,        5, 6-2 Blue Springs    , TH        ,       22,        1, Tennessee House of Representatives District, " ""November 2", " 2010""", State General,    1, . Eric Watson - R                       ,    932,     ,                                                      ,      0,     ,                                          ,      0,     ,                                  ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                         ,      0,     ,                         ,      0,      ,                            ,       0
  0014,        1, 6-3 Waterville      , GOV       ,         ,        1, Governor                                   , " ""November 2", " 2010""", State General,    1, . Bill Haslam - R                       ,    511,    2, . Mike McWherter - D                                 ,    114,    3, . Bayron Binkley - I                     ,      0,    4, . Brandon Dodds - I              ,      3,    5, . Samuel David Duck - I ,      0,    6, . David Gatchell - I           ,      1,    7, . June Griffin - I      ,      9,    8, . Toni K. Hall - I                      ,      0,    9, . Mike Knois - I        ,      0,    10, . Boyce T. McCall - I      ,       0
  0014,        1, 6-3 Waterville      , GOV       ,         ,       11, Governor                                   , " ""November 2", " 2010""", State General,   11, . Donald Ray McFolin - I                ,      0,   12, . Linda Kay Perry - I                                ,      0,   13, . James Reesor - I                       ,      0,   14, . Thomas Smith II - I            ,      0,   15, . Howard M. Switzer - I ,      0,   16, . Carl Twofeathers Whitaker - I,      5,   17, . Write-in - James Lee  ,      0,   18, . Write-in - Basil Marceaux             ,      0,   19, . Write-in - Gary Nugent,      0,      ,                            ,       0
  0014,        2, 6-3 Waterville      , CA        ,         ,        1, Constitutional Amendment                   , " ""November 2", " 2010""", State General,    1, . Yes                                   ,    536,    2, . No                                                 ,     20,     ,                                          ,      0,     ,                                  ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                         ,      0,     ,                         ,      0,      ,                            ,       0
  0014,        3, 6-3 Waterville      , UH        ,        3,        1, U. S. House of Representatives District    , " ""November 2", " 2010""", State General,    1, . Chuck Fleischmann - R                 ,    446,    2, . John Wolfe - D                                     ,    119,    3, . Don Barkman - I                        ,      5,    4, . Mark DeVol - I                 ,     29,    5, . Gregory C. Goodwin - I,      0,    6, . Robert Humphries - I         ,      0,    7, . Mo Kiah - I           ,      0,    8, . Savas T. Kyriakidis - I               ,     28,     ,                         ,      0,      ,                            ,       0
  0014,        4, 6-3 Waterville      , TS        ,        9,        1, Tennessee Senate District                  , " ""November 2", " 2010""", State General,    1, . Mike Bell - R                         ,    537,     ,                                                      ,      0,     ,                                          ,      0,     ,                                  ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                         ,      0,     ,                         ,      0,      ,                            ,       0
  0014,        5, 6-3 Waterville      , TH        ,       24,        1, Tennessee House of Representatives District, " ""November 2", " 2010""", State General,    1, . Kevin D. Brooks - R                   ,    504,     ,                                                      ,      0,     ,                                          ,      0,     ,                                  ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                         ,      0,     ,                         ,      0,      ,                            ,       0
  0015,        1, 6-4 Black Fox       , GOV       ,         ,        1, Governor                                   , " ""November 2", " 2010""", State General,    1, . Bill Haslam - R                       ,    499,    2, . Mike McWherter - D                                 ,     72,    3, . Bayron Binkley - I                     ,      0,    4, . Brandon Dodds - I              ,      1,    5, . Samuel David Duck - I ,      1,    6, . David Gatchell - I           ,      0,    7, . June Griffin - I      ,      7,    8, . Toni K. Hall - I                      ,      1,    9, . Mike Knois - I        ,      1,    10, . Boyce T. McCall - I      ,       1
  0015,        1, 6-4 Black Fox       , GOV       ,         ,       11, Governor                                   , " ""November 2", " 2010""", State General,   11, . Donald Ray McFolin - I                ,      0,   12, . Linda Kay Perry - I                                ,      2,   13, . James Reesor - I                       ,      0,   14, . Thomas Smith II - I            ,      0,   15, . Howard M. Switzer - I ,      1,   16, . Carl Twofeathers Whitaker - I,      4,   17, . Write-in - James Lee  ,      0,   18, . Write-in - Basil Marceaux             ,      0,   19, . Write-in - Gary Nugent,      0,      ,                            ,       0
  0015,        2, 6-4 Black Fox       , CA        ,         ,        1, Constitutional Amendment                   , " ""November 2", " 2010""", State General,    1, . Yes                                   ,    471,    2, . No                                                 ,     44,     ,                                          ,      0,     ,                                  ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                         ,      0,     ,                         ,      0,      ,                            ,       0
  0015,        3, 6-4 Black Fox       , UH        ,        3,        1, U. S. House of Representatives District    , " ""November 2", " 2010""", State General,    1, . Chuck Fleischmann - R                 ,    406,    2, . John Wolfe - D                                     ,     65,    3, . Don Barkman - I                        ,      1,    4, . Mark DeVol - I                 ,     28,    5, . Gregory C. Goodwin - I,      0,    6, . Robert Humphries - I         ,      2,    7, . Mo Kiah - I           ,      2,    8, . Savas T. Kyriakidis - I               ,     80,     ,                         ,      0,      ,                            ,       0
  0015,        4, 6-4 Black Fox       , TS        ,        9,        1, Tennessee Senate District                  , " ""November 2", " 2010""", State General,    1, . Mike Bell - R                         ,    503,     ,                                                      ,      0,     ,                                          ,      0,     ,                                  ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                         ,      0,     ,                         ,      0,      ,                            ,       0
  0015,        5, 6-4 Black Fox       , TH        ,       22,        1, Tennessee House of Representatives District, " ""November 2", " 2010""", State General,    1, . Eric Watson - R                       ,    494,     ,                                                      ,      0,     ,                                          ,      0,     ,                                  ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                         ,      0,     ,                         ,      0,      ,                            ,       0
  0016,        1, 7-1 Stuart          , GOV       ,         ,        1, Governor                                   , " ""November 2", " 2010""", State General,    1, . Bill Haslam - R                       ,   1540,    2, . Mike McWherter - D                                 ,    373,    3, . Bayron Binkley - I                     ,      2,    4, . Brandon Dodds - I              ,      3,    5, . Samuel David Duck - I ,      0,    6, . David Gatchell - I           ,      1,    7, . June Griffin - I      ,      1,    8, . Toni K. Hall - I                      ,      1,    9, . Mike Knois - I        ,      1,    10, . Boyce T. McCall - I      ,       0
  0016,        1, 7-1 Stuart          , GOV       ,         ,       11, Governor                                   , " ""November 2", " 2010""", State General,   11, . Donald Ray McFolin - I                ,      0,   12, . Linda Kay Perry - I                                ,      2,   13, . James Reesor - I                       ,      0,   14, . Thomas Smith II - I            ,      0,   15, . Howard M. Switzer - I ,      2,   16, . Carl Twofeathers Whitaker - I,     11,   17, . Write-in - James Lee  ,      0,   18, . Write-in - Basil Marceaux             ,      0,   19, . Write-in - Gary Nugent,      0,      ,                            ,       0
  0016,        2, 7-1 Stuart          , CA        ,         ,        1, Constitutional Amendment                   , " ""November 2", " 2010""", State General,    1, . Yes                                   ,   1496,    2, . No                                                 ,    141,     ,                                          ,      0,     ,                                  ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                         ,      0,     ,                         ,      0,      ,                            ,       0
  0016,        3, 7-1 Stuart          , UH        ,        3,        1, U. S. House of Representatives District    , " ""November 2", " 2010""", State General,    1, . Chuck Fleischmann - R                 ,   1304,    2, . John Wolfe - D                                     ,    349,    3, . Don Barkman - I                        ,     14,    4, . Mark DeVol - I                 ,     55,    5, . Gregory C. Goodwin - I,      2,    6, . Robert Humphries - I         ,      5,    7, . Mo Kiah - I           ,      2,    8, . Savas T. Kyriakidis - I               ,    138,     ,                         ,      0,      ,                            ,       0
  0016,        4, 7-1 Stuart          , TS        ,        9,        1, Tennessee Senate District                  , " ""November 2", " 2010""", State General,    1, . Mike Bell - R                         ,   1562,     ,                                                      ,      0,     ,                                          ,      0,     ,                                  ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                         ,      0,     ,                         ,      0,      ,                            ,       0
  0016,        5, 7-1 Stuart          , TH        ,       24,        1, Tennessee House of Representatives District, " ""November 2", " 2010""", State General,    1, . Kevin D. Brooks - R                   ,   1576,     ,                                                      ,      0,     ,                                          ,      0,     ,                                  ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                         ,      0,     ,                         ,      0,      ,                            ,       0
  0017,        1, 7-2 Cleveland High  , GOV       ,         ,        1, Governor                                   , " ""November 2", " 2010""", State General,    1, . Bill Haslam - R                       ,    885,    2, . Mike McWherter - D                                 ,    234,    3, . Bayron Binkley - I                     ,      1,    4, . Brandon Dodds - I              ,      3,    5, . Samuel David Duck - I ,      0,    6, . David Gatchell - I           ,      0,    7, . June Griffin - I      ,      2,    8, . Toni K. Hall - I                      ,      0,    9, . Mike Knois - I        ,      1,    10, . Boyce T. McCall - I      ,       0
  0017,        1, 7-2 Cleveland High  , GOV       ,         ,       11, Governor                                   , " ""November 2", " 2010""", State General,   11, . Donald Ray McFolin - I                ,      0,   12, . Linda Kay Perry - I                                ,      0,   13, . James Reesor - I                       ,      1,   14, . Thomas Smith II - I            ,      0,   15, . Howard M. Switzer - I ,      1,   16, . Carl Twofeathers Whitaker - I,      4,   17, . Write-in - James Lee  ,      0,   18, . Write-in - Basil Marceaux             ,      0,   19, . Write-in - Gary Nugent,      0,      ,                            ,       0
  0017,        2, 7-2 Cleveland High  , CA        ,         ,        1, Constitutional Amendment                   , " ""November 2", " 2010""", State General,    1, . Yes                                   ,    863,    2, . No                                                 ,     81,     ,                                          ,      0,     ,                                  ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                         ,      0,     ,                         ,      0,      ,                            ,       0
  0017,        3, 7-2 Cleveland High  , UH        ,        3,        1, U. S. House of Representatives District    , " ""November 2", " 2010""", State General,    1, . Chuck Fleischmann - R                 ,    718,    2, . John Wolfe - D                                     ,    236,    3, . Don Barkman - I                        ,      5,    4, . Mark DeVol - I                 ,     51,    5, . Gregory C. Goodwin - I,      4,    6, . Robert Humphries - I         ,      4,    7, . Mo Kiah - I           ,      1,    8, . Savas T. Kyriakidis - I               ,     78,     ,                         ,      0,      ,                            ,       0
  0017,        4, 7-2 Cleveland High  , TS        ,        9,        1, Tennessee Senate District                  , " ""November 2", " 2010""", State General,    1, . Mike Bell - R                         ,    915,     ,                                                      ,      0,     ,                                          ,      0,     ,                                  ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                         ,      0,     ,                         ,      0,      ,                            ,       0
  0017,        5, 7-2 Cleveland High  , TH        ,       24,        1, Tennessee House of Representatives District, " ""November 2", " 2010""", State General,    1, . Kevin D. Brooks - R                   ,    938,     ,                                                      ,      0,     ,                                          ,      0,     ,                                  ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                         ,      0,     ,                         ,      0,      ,                            ,       0
  0001,        1, 1-1 Coolidge        , GOV       ,         ,        1, Governor                                   , " ""November 2", " 2010""", State General,    1, . Bill Haslam - R                       ,    206,    2, . Mike McWherter - D                                 ,     79,    3, . Bayron Binkley - I                     ,      0,    4, . Brandon Dodds - I              ,      0,    5, . Samuel David Duck - I ,      0,    6, . David Gatchell - I           ,      0,    7, . June Griffin - I      ,      0,    8, . Toni K. Hall - I                      ,      0,    9, . Mike Knois - I        ,      0,    10, . Boyce T. McCall - I      ,       0
  0001,        1, 1-1 Coolidge        , GOV       ,         ,       11, Governor                                   , " ""November 2", " 2010""", State General,   11, . Donald Ray McFolin - I                ,      0,   12, . Linda Kay Perry - I                                ,      1,   13, . James Reesor - I                       ,      0,   14, . Thomas Smith II - I            ,      0,   15, . Howard M. Switzer - I ,      2,   16, . Carl Twofeathers Whitaker - I,      3,   17, . Write-in - James Lee  ,      0,   18, . Write-in - Basil Marceaux             ,      0,   19, . Write-in - Gary Nugent,      0,      ,                            ,       0
  0001,        2, 1-1 Coolidge        , CA        ,         ,        1, Constitutional Amendment                   , " ""November 2", " 2010""", State General,    1, . Yes                                   ,    224,    2, . No                                                 ,     30,     ,                                          ,      0,     ,                                  ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                         ,      0,     ,                         ,      0,      ,                            ,       0
  0001,        3, 1-1 Coolidge        , UH        ,        4,        1, U. S. House of Representatives District    , " ""November 2", " 2010""", State General,    1, . Scott DesJarlais - R                  ,    175,    2, . Lincoln Davis - D                                  ,     87,    3, . Paul H. Curtis - I                     ,      5,    4, . James Gray - I                 ,      4,    5, . Richard S. Johnson - I,      6,    6, . Gerald York - I              ,      1,     ,                         ,      0,     ,                                         ,      0,     ,                         ,      0,      ,                            ,       0
  0001,        5, 1-1 Coolidge        , TH        ,       36,        1, Tennessee House of Representatives District, " ""November 2", " 2010""", State General,    1, . Dennis Powers - R                     ,    183,    2, . Keith Clotfelter - D                               ,     99,     ,                                          ,      0,     ,                                  ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                         ,      0,     ,                         ,      0,      ,                            ,       0
  0002,        1, 1-2 Demory          , GOV       ,         ,        1, Governor                                   , " ""November 2", " 2010""", State General,    1, . Bill Haslam - R                       ,    386,    2, . Mike McWherter - D                                 ,     89,    3, . Bayron Binkley - I                     ,      1,    4, . Brandon Dodds - I              ,      0,    5, . Samuel David Duck - I ,      1,    6, . David Gatchell - I           ,      0,    7, . June Griffin - I      ,      1,    8, . Toni K. Hall - I                      ,      0,    9, . Mike Knois - I        ,      0,    10, . Boyce T. McCall - I      ,       0
  0002,        1, 1-2 Demory          , GOV       ,         ,       11, Governor                                   , " ""November 2", " 2010""", State General,   11, . Donald Ray McFolin - I                ,      0,   12, . Linda Kay Perry - I                                ,      0,   13, . James Reesor - I                       ,      0,   14, . Thomas Smith II - I            ,      0,   15, . Howard M. Switzer - I ,      0,   16, . Carl Twofeathers Whitaker - I,      2,   17, . Write-in - James Lee  ,      0,   18, . Write-in - Basil Marceaux             ,      0,   19, . Write-in - Gary Nugent,      0,      ,                            ,       0
  0002,        2, 1-2 Demory          , CA        ,         ,        1, Constitutional Amendment                   , " ""November 2", " 2010""", State General,    1, . Yes                                   ,    400,    2, . No                                                 ,     38,     ,                                          ,      0,     ,                                  ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                         ,      0,     ,                         ,      0,      ,                            ,       0
  0002,        3, 1-2 Demory          , UH        ,        4,        1, U. S. House of Representatives District    , " ""November 2", " 2010""", State General,    1, . Scott DesJarlais - R                  ,    303,    2, . Lincoln Davis - D                                  ,    133,    3, . Paul H. Curtis - I                     ,      7,    4, . James Gray - I                 ,      5,    5, . Richard S. Johnson - I,     14,    6, . Gerald York - I              ,      2,     ,                         ,      0,     ,                                         ,      0,     ,                         ,      0,      ,                            ,       0
  0002,        5, 1-2 Demory          , TH        ,       36,        1, Tennessee House of Representatives District, " ""November 2", " 2010""", State General,    1, . Dennis Powers - R                     ,    310,    2, . Keith Clotfelter - D                               ,    166,     ,                                          ,      0,     ,                                  ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                         ,      0,     ,                         ,      0,      ,                            ,       0
  0003,        1, 1-3 Pinecrest       , GOV       ,         ,        1, Governor                                   , " ""November 2", " 2010""", State General,    1, . Bill Haslam - R                       ,    136,    2, . Mike McWherter - D                                 ,     70,    3, . Bayron Binkley - I                     ,      1,    4, . Brandon Dodds - I              ,      0,    5, . Samuel David Duck - I ,      1,    6, . David Gatchell - I           ,      1,    7, . June Griffin - I      ,      0,    8, . Toni K. Hall - I                      ,      0,    9, . Mike Knois - I        ,      0,    10, . Boyce T. McCall - I      ,       0
  0003,        1, 1-3 Pinecrest       , GOV       ,         ,       11, Governor                                   , " ""November 2", " 2010""", State General,   11, . Donald Ray McFolin - I                ,      0,   12, . Linda Kay Perry - I                                ,      1,   13, . James Reesor - I                       ,      0,   14, . Thomas Smith II - I            ,      1,   15, . Howard M. Switzer - I ,      2,   16, . Carl Twofeathers Whitaker - I,      1,   17, . Write-in - James Lee  ,      0,   18, . Write-in - Basil Marceaux             ,      0,   19, . Write-in - Gary Nugent,      0,      ,                            ,       0
  0003,        2, 1-3 Pinecrest       , CA        ,         ,        1, Constitutional Amendment                   , " ""November 2", " 2010""", State General,    1, . Yes                                   ,    182,    2, . No                                                 ,     18,     ,                                          ,      0,     ,                                  ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                         ,      0,     ,                         ,      0,      ,                            ,       0
  0003,        3, 1-3 Pinecrest       , UH        ,        4,        1, U. S. House of Representatives District    , " ""November 2", " 2010""", State General,    1, . Scott DesJarlais - R                  ,    112,    2, . Lincoln Davis - D                                  ,     93,    3, . Paul H. Curtis - I                     ,      3,    4, . James Gray - I                 ,      4,    5, . Richard S. Johnson - I,      2,    6, . Gerald York - I              ,      1,     ,                         ,      0,     ,                                         ,      0,     ,                         ,      0,      ,                            ,       0
  0003,        5, 1-3 Pinecrest       , TH        ,       36,        1, Tennessee House of Representatives District, " ""November 2", " 2010""", State General,    1, . Dennis Powers - R                     ,    100,    2, . Keith Clotfelter - D                               ,    114,     ,                                          ,      0,     ,                                  ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                         ,      0,     ,                         ,      0,      ,                            ,       0
