COUNTY, PRECINCT, Precinct Seq        , Office Seq, OfficeID, District, Candidate Group                            , OFFICENAME     , ELECTDATE, ELECTTYPE       , Col1, BName1                                    , Tally1, Col2, BName2                                     , Tally2, Col3, BName3                        , Tally3, Col4, BName4                         , Tally4, Col5, BName5                                       , Tally5, Col6, BName6                           , Tally6, Col7, BName7                       , Tally7, Col8, BName8                            , Tally8, Col9, BName9                      , Tally9, Col10, BName10                      , Tally10
  0013,        5, 6-2 Blue Springs    , TNH       ,       22,        1, Tennessee House of Representatives District, " ""November 6", " 2012""", General Election,    1, . Eric Watson - (R)                       ,   1312,    2, . Jonathan Gladden - (D)                   ,    308,     ,                               ,      0,     ,                                ,      0,     ,                                              ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0014,        1, 6-3 Waterville      , PRES      ,         ,        1, United States President                    , " ""November 6", " 2012""", General Election,    1, . Mitt Romney - (R)                       ,    778,    2, . Barack Obama - (D)                       ,    210,    3, . Virgil Goode - (C)          ,      6,    4, . Jill Stein - (G)             ,      5,    5, " "". Ross C. """"Rocky"""" Anderson - (I)""",      1,    6, . Gary Johnson - (I)             ,     11,    7, . Merlin Miller - (I)        ,      2,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0014,        2, 6-3 Waterville      , USS       ,         ,        1, United States Senate                       , " ""November 6", " 2012""", General Election,    1, . Bob Corker - (R)                        ,    778,    2, . Mark E. Clayton - (D)                    ,    148,    3, . Kermit Steck - (C)          ,      9,    4, . Martin Pleasant - (G)        ,      3,    5, . Shaun E. Crowell - (I)                     ,      6,    6, . David Gatchell - (I)           ,      1,    7, . James Higdon - (I)         ,      5,    8, . Michel Joseph Long - (I)        ,      2,    9, . Troy Stephen Scoggin - (I),      7,    10, . Write-In - Fred R. Anderson,       0
  0014,        2, 6-3 Waterville      , USS       ,         ,       11, United States Senate                       , " ""November 6", " 2012""", General Election,   11, . Write-In - Larry Crim                   ,      0,   12, . Write-In - Gary Gene Davis               ,      0,   13, . Write-In - Allen Hoenicke   ,      0,   14, . Write-In - De Wayne A. Jones ,      0,   15, . Write-In - Jacob Maurer                    ,      0,   16, . Write-In - Jim Maynard         ,      0,   17, . Write-In - Margie Nell Penn,      0,   18, . Write-In - Christopher Schappert,      0,   19, . Write-In - Lee Stewart    ,      0,    20, . Write-In - Angelia Stinnett,       0
  0014,        2, 6-3 Waterville      , USS       ,         ,       21, United States Senate                       , " ""November 6", " 2012""", General Election,   21, . Write-In - Mary D. Wright               ,      0,     ,                                            ,      0,     ,                               ,      0,     ,                                ,      0,     ,                                              ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0014,        3, 6-3 Waterville      , USH       ,        3,        1, U.S. House of Representatives District     , " ""November 6", " 2012""", General Election,    1, . Chuck Fleischmann - (R)                 ,    321,    2, . Mary M. Headrick - (D)                   ,     86,    3, . Matthew Deniston - (I)      ,     17,    4, . Write-In - Richard Hall      ,      0,    5, . Write-In - Lady J Jean Howard-Hill         ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0014,        3, 6-3 Waterville      , USH       ,        4,        1, U.S. House of Representatives District     , " ""November 6", " 2012""", General Election,    1, . Scott DesJarlais - (R)                  ,    266,    2, . Eric Stewart - (D)                       ,    165,     ,                               ,      0,     ,                                ,      0,     ,                                              ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0014,        4, 6-3 Waterville      , TNS       ,       10,        1, Tennessee Senate District                  , " ""November 6", " 2012""", General Election,    1, . Todd Gardenhire - (R)                   ,    689,    2, . Andrae' McGary - (D)                     ,    209,     ,                               ,      0,     ,                                ,      0,     ,                                              ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0014,        5, 6-3 Waterville      , TNH       ,       24,        1, Tennessee House of Representatives District, " ""November 6", " 2012""", General Election,    1, . Kevin D. Brooks - (R)                   ,    732,     ,                                            ,      0,     ,                               ,      0,     ,                                ,      0,     ,                                              ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0015,        1, 6-4 Black Fox       , PRES      ,         ,        1, United States President                    , " ""November 6", " 2012""", General Election,    1, . Mitt Romney - (R)                       ,    761,    2, . Barack Obama - (D)                       ,    142,    3, . Virgil Goode - (C)          ,      2,    4, . Jill Stein - (G)             ,      3,    5, " "". Ross C. """"Rocky"""" Anderson - (I)""",      1,    6, . Gary Johnson - (I)             ,     14,    7, . Merlin Miller - (I)        ,      3,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0015,        2, 6-4 Black Fox       , USS       ,         ,        1, United States Senate                       , " ""November 6", " 2012""", General Election,    1, . Bob Corker - (R)                        ,    778,    2, . Mark E. Clayton - (D)                    ,     96,    3, . Kermit Steck - (C)          ,     13,    4, . Martin Pleasant - (G)        ,      6,    5, . Shaun E. Crowell - (I)                     ,      3,    6, . David Gatchell - (I)           ,      1,    7, . James Higdon - (I)         ,      6,    8, . Michel Joseph Long - (I)        ,      2,    9, . Troy Stephen Scoggin - (I),      2,    10, . Write-In - Fred R. Anderson,       0
  0015,        2, 6-4 Black Fox       , USS       ,         ,       11, United States Senate                       , " ""November 6", " 2012""", General Election,   11, . Write-In - Larry Crim                   ,      0,   12, . Write-In - Gary Gene Davis               ,      0,   13, . Write-In - Allen Hoenicke   ,      0,   14, . Write-In - De Wayne A. Jones ,      0,   15, . Write-In - Jacob Maurer                    ,      0,   16, . Write-In - Jim Maynard         ,      0,   17, . Write-In - Margie Nell Penn,      0,   18, . Write-In - Christopher Schappert,      0,   19, . Write-In - Lee Stewart    ,      0,    20, . Write-In - Angelia Stinnett,       0
  0015,        2, 6-4 Black Fox       , USS       ,         ,       21, United States Senate                       , " ""November 6", " 2012""", General Election,   21, . Write-In - Mary D. Wright               ,      0,     ,                                            ,      0,     ,                               ,      0,     ,                                ,      0,     ,                                              ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0015,        3, 6-4 Black Fox       , USH       ,        3,        1, U.S. House of Representatives District     , " ""November 6", " 2012""", General Election,    1, . Chuck Fleischmann - (R)                 ,    543,    2, . Mary M. Headrick - (D)                   ,     95,    3, . Matthew Deniston - (I)      ,     34,    4, . Write-In - Richard Hall      ,      0,    5, . Write-In - Lady J Jean Howard-Hill         ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0015,        3, 6-4 Black Fox       , USH       ,        4,        1, U.S. House of Representatives District     , " ""November 6", " 2012""", General Election,    1, . Scott DesJarlais - (R)                  ,    109,    2, . Eric Stewart - (D)                       ,     54,     ,                               ,      0,     ,                                ,      0,     ,                                              ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0015,        4, 6-4 Black Fox       , TNS       ,       10,        1, Tennessee Senate District                  , " ""November 6", " 2012""", General Election,    1, . Todd Gardenhire - (R)                   ,    716,    2, . Andrae' McGary - (D)                     ,    147,     ,                               ,      0,     ,                                ,      0,     ,                                              ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0015,        5, 6-4 Black Fox       , TNH       ,       22,        1, Tennessee House of Representatives District, " ""November 6", " 2012""", General Election,    1, . Eric Watson - (R)                       ,    726,    2, . Jonathan Gladden - (D)                   ,    124,     ,                               ,      0,     ,                                ,      0,     ,                                              ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0016,        1, 7-1 Stuart          , PRES      ,         ,        1, United States President                    , " ""November 6", " 2012""", General Election,    1, . Mitt Romney - (R)                       ,   2266,    2, . Barack Obama - (D)                       ,    875,    3, . Virgil Goode - (C)          ,      6,    4, . Jill Stein - (G)             ,      9,    5, " "". Ross C. """"Rocky"""" Anderson - (I)""",      5,    6, . Gary Johnson - (I)             ,     15,    7, . Merlin Miller - (I)        ,      1,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0016,        2, 7-1 Stuart          , USS       ,         ,        1, United States Senate                       , " ""November 6", " 2012""", General Election,    1, . Bob Corker - (R)                        ,   2402,    2, . Mark E. Clayton - (D)                    ,    543,    3, . Kermit Steck - (C)          ,     16,    4, . Martin Pleasant - (G)        ,     29,    5, . Shaun E. Crowell - (I)                     ,     26,    6, . David Gatchell - (I)           ,      8,    7, . James Higdon - (I)         ,      8,    8, . Michel Joseph Long - (I)        ,      8,    9, . Troy Stephen Scoggin - (I),     11,    10, . Write-In - Fred R. Anderson,       0
  0016,        2, 7-1 Stuart          , USS       ,         ,       11, United States Senate                       , " ""November 6", " 2012""", General Election,   11, . Write-In - Larry Crim                   ,      0,   12, . Write-In - Gary Gene Davis               ,      0,   13, . Write-In - Allen Hoenicke   ,      0,   14, . Write-In - De Wayne A. Jones ,      0,   15, . Write-In - Jacob Maurer                    ,      0,   16, . Write-In - Jim Maynard         ,      0,   17, . Write-In - Margie Nell Penn,      0,   18, . Write-In - Christopher Schappert,      0,   19, . Write-In - Lee Stewart    ,      0,    20, . Write-In - Angelia Stinnett,       0
  0016,        2, 7-1 Stuart          , USS       ,         ,       21, United States Senate                       , " ""November 6", " 2012""", General Election,   21, . Write-In - Mary D. Wright               ,      0,     ,                                            ,      0,     ,                               ,      0,     ,                                ,      0,     ,                                              ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0016,        3, 7-1 Stuart          , USH       ,        4,        1, U.S. House of Representatives District     , " ""November 6", " 2012""", General Election,    1, . Scott DesJarlais - (R)                  ,   1692,    2, . Eric Stewart - (D)                       ,   1049,     ,                               ,      0,     ,                                ,      0,     ,                                              ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0016,        5, 7-1 Stuart          , TNH       ,       24,        1, Tennessee House of Representatives District, " ""November 6", " 2012""", General Election,    1, . Kevin D. Brooks - (R)                   ,   2431,     ,                                            ,      0,     ,                               ,      0,     ,                                ,      0,     ,                                              ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0017,        1, 7-2 Cleveland High  , PRES      ,         ,        1, United States President                    , " ""November 6", " 2012""", General Election,    1, . Mitt Romney - (R)                       ,   1439,    2, . Barack Obama - (D)                       ,    522,    3, . Virgil Goode - (C)          ,     11,    4, . Jill Stein - (G)             ,      2,    5, " "". Ross C. """"Rocky"""" Anderson - (I)""",      1,    6, . Gary Johnson - (I)             ,     15,    7, . Merlin Miller - (I)        ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0017,        2, 7-2 Cleveland High  , USS       ,         ,        1, United States Senate                       , " ""November 6", " 2012""", General Election,    1, . Bob Corker - (R)                        ,   1500,    2, . Mark E. Clayton - (D)                    ,    335,    3, . Kermit Steck - (C)          ,      9,    4, . Martin Pleasant - (G)        ,     18,    5, . Shaun E. Crowell - (I)                     ,      5,    6, . David Gatchell - (I)           ,      6,    7, . James Higdon - (I)         ,      7,    8, . Michel Joseph Long - (I)        ,      3,    9, . Troy Stephen Scoggin - (I),      7,    10, . Write-In - Fred R. Anderson,       0
  0017,        2, 7-2 Cleveland High  , USS       ,         ,       11, United States Senate                       , " ""November 6", " 2012""", General Election,   11, . Write-In - Larry Crim                   ,      0,   12, . Write-In - Gary Gene Davis               ,      0,   13, . Write-In - Allen Hoenicke   ,      0,   14, . Write-In - De Wayne A. Jones ,      0,   15, . Write-In - Jacob Maurer                    ,      0,   16, . Write-In - Jim Maynard         ,      0,   17, . Write-In - Margie Nell Penn,      0,   18, . Write-In - Christopher Schappert,      0,   19, . Write-In - Lee Stewart    ,      0,    20, . Write-In - Angelia Stinnett,       0
  0017,        2, 7-2 Cleveland High  , USS       ,         ,       21, United States Senate                       , " ""November 6", " 2012""", General Election,   21, . Write-In - Mary D. Wright               ,      0,     ,                                            ,      0,     ,                               ,      0,     ,                                ,      0,     ,                                              ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0017,        3, 7-2 Cleveland High  , USH       ,        4,        1, U.S. House of Representatives District     , " ""November 6", " 2012""", General Election,    1, . Scott DesJarlais - (R)                  ,   1047,    2, . Eric Stewart - (D)                       ,    632,     ,                               ,      0,     ,                                ,      0,     ,                                              ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0017,        5, 7-2 Cleveland High  , TNH       ,       24,        1, Tennessee House of Representatives District, " ""November 6", " 2012""", General Election,    1, . Kevin D. Brooks - (R)                   ,   1509,     ,                                            ,      0,     ,                               ,      0,     ,                                ,      0,     ,                                              ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0001,        1, 1-1 Alder Springs   , PRES      ,         ,        1, United States President                    , " ""November 6", " 2012""", General Election,    1, . Mitt Romney - (R)                       ,    295,    2, . Barack Obama - (D)                       ,    106,    3, . Virgil Goode - (C)          ,      2,    4, . Jill Stein - (G)             ,      0,    5, " "". Ross C. """"Rocky"""" Anderson - (I)""",      0,    6, . Gary Johnson - (I)             ,      0,    7, . Merlin Miller - (I)        ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0001,        2, 1-1 Alder Springs   , USS       ,         ,        1, United States Senate                       , " ""November 6", " 2012""", General Election,    1, . Bob Corker - (R)                        ,    286,    2, . Mark E. Clayton - (D)                    ,     69,    3, . Kermit Steck - (C)          ,      3,    4, . Martin Pleasant - (G)        ,      5,    5, . Shaun E. Crowell - (I)                     ,      4,    6, . David Gatchell - (I)           ,      1,    7, . James Higdon - (I)         ,      2,    8, . Michel Joseph Long - (I)        ,      0,    9, . Troy Stephen Scoggin - (I),      0,    10, . Write-In - Fred R. Anderson,       0
  0001,        2, 1-1 Alder Springs   , USS       ,         ,       11, United States Senate                       , " ""November 6", " 2012""", General Election,   11, . Write-In - Larry Crim                   ,      0,   12, . Write-In - Gary Gene Davis               ,      0,   13, . Write-In - Allen Hoenicke   ,      0,   14, . Write-In - De Wayne A. Jones ,      0,   15, . Write-In - Jacob Maurer                    ,      0,   16, . Write-In - Jim Maynard         ,      0,   17, . Write-In - Margie Nell Penn,      0,   18, . Write-In - Christopher Schappert,      0,   19, . Write-In - Lee Stewart    ,      0,    20, . Write-In - Angelia Stinnett,       0
  0001,        2, 1-1 Alder Springs   , USS       ,         ,       21, United States Senate                       , " ""November 6", " 2012""", General Election,   21, . Write-In - Mary D. Wright               ,      0,     ,                                            ,      0,     ,                               ,      0,     ,                                ,      0,     ,                                              ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0001,        3, 1-1 Alder Springs   , USH       ,        3,        1, U.S. House of Representatives District     , " ""November 6", " 2012""", General Election,    1, . Chuck Fleischmann - (R)                 ,    256,    2, . Mary M. Headrick - (D)                   ,     92,    3, . Matthew Deniston - (I)      ,      9,    4, . Write-In - Richard Hall      ,      0,    5, . Write-In - Lady J Jean Howard-Hill         ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0001,        4, 1-1 Alder Springs   , TNS       ,       12,        1, Tennessee Senate District                  , " ""November 6", " 2012""", General Election,    1, . Ken Yager - (R)                         ,    314,     ,                                            ,      0,     ,                               ,      0,     ,                                ,      0,     ,                                              ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0001,        5, 1-1 Alder Springs   , TNH       ,       36,        1, Tennessee House of Representatives District, " ""November 6", " 2012""", General Election,    1, . Dennis Powers - (R)                     ,    287,    2, . Virgil Kidwell - (I)                     ,     64,     ,                               ,      0,     ,                                ,      0,     ,                                              ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0002,        1, 1-2 Demory          , PRES      ,         ,        1, United States President                    , " ""November 6", " 2012""", General Election,    1, . Mitt Romney - (R)                       ,    501,    2, . Barack Obama - (D)                       ,    136,    3, . Virgil Goode - (C)          ,      1,    4, . Jill Stein - (G)             ,      0,    5, " "". Ross C. """"Rocky"""" Anderson - (I)""",      0,    6, . Gary Johnson - (I)             ,      2,    7, . Merlin Miller - (I)        ,      1,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0002,        2, 1-2 Demory          , USS       ,         ,        1, United States Senate                       , " ""November 6", " 2012""", General Election,    1, . Bob Corker - (R)                        ,    465,    2, . Mark E. Clayton - (D)                    ,    115,    3, . Kermit Steck - (C)          ,      1,    4, . Martin Pleasant - (G)        ,      4,    5, . Shaun E. Crowell - (I)                     ,      7,    6, . David Gatchell - (I)           ,      1,    7, . James Higdon - (I)         ,      3,    8, . Michel Joseph Long - (I)        ,      5,    9, . Troy Stephen Scoggin - (I),      4,    10, . Write-In - Fred R. Anderson,       0
  0002,        2, 1-2 Demory          , USS       ,         ,       11, United States Senate                       , " ""November 6", " 2012""", General Election,   11, . Write-In - Larry Crim                   ,      0,   12, . Write-In - Gary Gene Davis               ,      0,   13, . Write-In - Allen Hoenicke   ,      0,   14, . Write-In - De Wayne A. Jones ,      0,   15, . Write-In - Jacob Maurer                    ,      0,   16, . Write-In - Jim Maynard         ,      0,   17, . Write-In - Margie Nell Penn,      0,   18, . Write-In - Christopher Schappert,      0,   19, . Write-In - Lee Stewart    ,      0,    20, . Write-In - Angelia Stinnett,       0
  0002,        2, 1-2 Demory          , USS       ,         ,       21, United States Senate                       , " ""November 6", " 2012""", General Election,   21, . Write-In - Mary D. Wright               ,      0,     ,                                            ,      0,     ,                               ,      0,     ,                                ,      0,     ,                                              ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0002,        3, 1-2 Demory          , USH       ,        3,        1, U.S. House of Representatives District     , " ""November 6", " 2012""", General Election,    1, . Chuck Fleischmann - (R)                 ,    425,    2, . Mary M. Headrick - (D)                   ,    133,    3, . Matthew Deniston - (I)      ,     22,    4, . Write-In - Richard Hall      ,      0,    5, . Write-In - Lady J Jean Howard-Hill         ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0002,        4, 1-2 Demory          , TNS       ,       12,        1, Tennessee Senate District                  , " ""November 6", " 2012""", General Election,    1, . Ken Yager - (R)                         ,    516,     ,                                            ,      0,     ,                               ,      0,     ,                                ,      0,     ,                                              ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0002,        5, 1-2 Demory          , TNH       ,       36,        1, Tennessee House of Representatives District, " ""November 6", " 2012""", General Election,    1, . Dennis Powers - (R)                     ,    464,    2, . Virgil Kidwell - (I)                     ,    124,     ,                               ,      0,     ,                                ,      0,     ,                                              ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0003,        1, 1-3 Pinecrest       , PRES      ,         ,        1, United States President                    , " ""November 6", " 2012""", General Election,    1, . Mitt Romney - (R)                       ,    183,    2, . Barack Obama - (D)                       ,    111,    3, . Virgil Goode - (C)          ,      1,    4, . Jill Stein - (G)             ,      1,    5, " "". Ross C. """"Rocky"""" Anderson - (I)""",      0,    6, . Gary Johnson - (I)             ,      2,    7, . Merlin Miller - (I)        ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0003,        2, 1-3 Pinecrest       , USS       ,         ,        1, United States Senate                       , " ""November 6", " 2012""", General Election,    1, . Bob Corker - (R)                        ,    191,    2, . Mark E. Clayton - (D)                    ,     78,    3, . Kermit Steck - (C)          ,      0,    4, . Martin Pleasant - (G)        ,      2,    5, . Shaun E. Crowell - (I)                     ,      2,    6, . David Gatchell - (I)           ,      2,    7, . James Higdon - (I)         ,      3,    8, . Michel Joseph Long - (I)        ,      0,    9, . Troy Stephen Scoggin - (I),      1,    10, . Write-In - Fred R. Anderson,       0
  0003,        2, 1-3 Pinecrest       , USS       ,         ,       11, United States Senate                       , " ""November 6", " 2012""", General Election,   11, . Write-In - Larry Crim                   ,      0,   12, . Write-In - Gary Gene Davis               ,      0,   13, . Write-In - Allen Hoenicke   ,      0,   14, . Write-In - De Wayne A. Jones ,      0,   15, . Write-In - Jacob Maurer                    ,      0,   16, . Write-In - Jim Maynard         ,      0,   17, . Write-In - Margie Nell Penn,      0,   18, . Write-In - Christopher Schappert,      0,   19, . Write-In - Lee Stewart    ,      0,    20, . Write-In - Angelia Stinnett,       0
  0003,        2, 1-3 Pinecrest       , USS       ,         ,       21, United States Senate                       , " ""November 6", " 2012""", General Election,   21, . Write-In - Mary D. Wright               ,      0,     ,                                            ,      0,     ,                               ,      0,     ,                                ,      0,     ,                                              ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0003,        3, 1-3 Pinecrest       , USH       ,        3,        1, U.S. House of Representatives District     , " ""November 6", " 2012""", General Election,    1, . Chuck Fleischmann - (R)                 ,    165,    2, . Mary M. Headrick - (D)                   ,     94,    3, . Matthew Deniston - (I)      ,      8,    4, . Write-In - Richard Hall      ,      0,    5, . Write-In - Lady J Jean Howard-Hill         ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0003,        4, 1-3 Pinecrest       , TNS       ,       12,        1, Tennessee Senate District                  , " ""November 6", " 2012""", General Election,    1, . Ken Yager - (R)                         ,    208,     ,                                            ,      0,     ,                               ,      0,     ,                                ,      0,     ,                                              ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0003,        5, 1-3 Pinecrest       , TNH       ,       36,        1, Tennessee House of Representatives District, " ""November 6", " 2012""", General Election,    1, . Dennis Powers - (R)                     ,    188,    2, . Virgil Kidwell - (I)                     ,     78,     ,                               ,      0,     ,                                ,      0,     ,                                              ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0004,        1, 1-4 Valley View     , PRES      ,         ,        1, United States President                    , " ""November 6", " 2012""", General Election,    1, . Mitt Romney - (R)                       ,    905,    2, . Barack Obama - (D)                       ,    281,    3, . Virgil Goode - (C)          ,      5,    4, . Jill Stein - (G)             ,      1,    5, " "". Ross C. """"Rocky"""" Anderson - (I)""",      6,    6, . Gary Johnson - (I)             ,      8,    7, . Merlin Miller - (I)        ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0004,        2, 1-4 Valley View     , USS       ,         ,        1, United States Senate                       , " ""November 6", " 2012""", General Election,    1, . Bob Corker - (R)                        ,    861,    2, . Mark E. Clayton - (D)                    ,    211,    3, . Kermit Steck - (C)          ,      6,    4, . Martin Pleasant - (G)        ,      7,    5, . Shaun E. Crowell - (I)                     ,      5,    6, . David Gatchell - (I)           ,      4,    7, . James Higdon - (I)         ,      6,    8, . Michel Joseph Long - (I)        ,      3,    9, . Troy Stephen Scoggin - (I),      5,    10, . Write-In - Fred R. Anderson,       0
  0004,        2, 1-4 Valley View     , USS       ,         ,       11, United States Senate                       , " ""November 6", " 2012""", General Election,   11, . Write-In - Larry Crim                   ,      0,   12, . Write-In - Gary Gene Davis               ,      0,   13, . Write-In - Allen Hoenicke   ,      0,   14, . Write-In - De Wayne A. Jones ,      0,   15, . Write-In - Jacob Maurer                    ,      0,   16, . Write-In - Jim Maynard         ,      0,   17, . Write-In - Margie Nell Penn,      0,   18, . Write-In - Christopher Schappert,      0,   19, . Write-In - Lee Stewart    ,      0,    20, . Write-In - Angelia Stinnett,       0
  0004,        2, 1-4 Valley View     , USS       ,         ,       21, United States Senate                       , " ""November 6", " 2012""", General Election,   21, . Write-In - Mary D. Wright               ,      0,     ,                                            ,      0,     ,                               ,      0,     ,                                ,      0,     ,                                              ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0004,        3, 1-4 Valley View     , USH       ,        3,        1, U.S. House of Representatives District     , " ""November 6", " 2012""", General Election,    1, . Chuck Fleischmann - (R)                 ,    758,    2, . Mary M. Headrick - (D)                   ,    266,    3, . Matthew Deniston - (I)      ,     37,    4, . Write-In - Richard Hall      ,      1,    5, . Write-In - Lady J Jean Howard-Hill         ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0004,        4, 1-4 Valley View     , TNS       ,       12,        1, Tennessee Senate District                  , " ""November 6", " 2012""", General Election,    1, . Ken Yager - (R)                         ,    929,     ,                                            ,      0,     ,                               ,      0,     ,                                ,      0,     ,                                              ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0004,        5, 1-4 Valley View     , TNH       ,       36,        1, Tennessee House of Representatives District, " ""November 6", " 2012""", General Election,    1, . Dennis Powers - (R)                     ,    884,    2, . Virgil Kidwell - (I)                     ,    187,     ,                               ,      0,     ,                                ,      0,     ,                                              ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0005,        1, 1-5 Well Springs    , PRES      ,         ,        1, United States President                    , " ""November 6", " 2012""", General Election,    1, . Mitt Romney - (R)                       ,    191,    2, . Barack Obama - (D)                       ,     62,    3, . Virgil Goode - (C)          ,      1,    4, . Jill Stein - (G)             ,      0,    5, " "". Ross C. """"Rocky"""" Anderson - (I)""",      0,    6, . Gary Johnson - (I)             ,      1,    7, . Merlin Miller - (I)        ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0005,        2, 1-5 Well Springs    , USS       ,         ,        1, United States Senate                       , " ""November 6", " 2012""", General Election,    1, . Bob Corker - (R)                        ,    188,    2, . Mark E. Clayton - (D)                    ,     52,    3, . Kermit Steck - (C)          ,      1,    4, . Martin Pleasant - (G)        ,      2,    5, . Shaun E. Crowell - (I)                     ,      2,    6, . David Gatchell - (I)           ,      4,    7, . James Higdon - (I)         ,      1,    8, . Michel Joseph Long - (I)        ,      0,    9, . Troy Stephen Scoggin - (I),      0,    10, . Write-In - Fred R. Anderson,       0
  0005,        2, 1-5 Well Springs    , USS       ,         ,       11, United States Senate                       , " ""November 6", " 2012""", General Election,   11, . Write-In - Larry Crim                   ,      0,   12, . Write-In - Gary Gene Davis               ,      0,   13, . Write-In - Allen Hoenicke   ,      0,   14, . Write-In - De Wayne A. Jones ,      0,   15, . Write-In - Jacob Maurer                    ,      0,   16, . Write-In - Jim Maynard         ,      0,   17, . Write-In - Margie Nell Penn,      0,   18, . Write-In - Christopher Schappert,      0,   19, . Write-In - Lee Stewart    ,      0,    20, . Write-In - Angelia Stinnett,       0
  0005,        2, 1-5 Well Springs    , USS       ,         ,       21, United States Senate                       , " ""November 6", " 2012""", General Election,   21, . Write-In - Mary D. Wright               ,      0,     ,                                            ,      0,     ,                               ,      0,     ,                                ,      0,     ,                                              ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
