COUNTY, PRECINCT, Precinct Seq        , Office Seq, OfficeID, District, Candidate Group                            , OFFICENAME     , ELECTDATE, ELECTTYPE       , Col1, BName1                                    , Tally1, Col2, BName2                                     , Tally2, Col3, BName3                        , Tally3, Col4, BName4                         , Tally4, Col5, BName5                                       , Tally5, Col6, BName6                           , Tally6, Col7, BName7                       , Tally7, Col8, BName8                            , Tally8, Col9, BName9                      , Tally9, Col10, BName10                      , Tally10
  0002,        3, Briceville          , USH       ,        3,        1, U.S. House of Representatives District     , " ""November 6", " 2012""", General Election,    1, . Chuck Fleischmann - (R)                 ,    193,    2, . Mary M. Headrick - (D)                   ,     88,    3, . Matthew Deniston - (I)      ,      7,    4, . Write-In - Richard Hall      ,      0,    5, . Write-In - Lady J Jean Howard-Hill         ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0002,        5, Briceville          , TNH       ,       33,        1, Tennessee House of Representatives District, " ""November 6", " 2012""", General Election,    1, . John D. Ragan - (R)                     ,    137,    2, . Jim Hackworth - (D)                      ,    168,     ,                               ,      0,     ,                                ,      0,     ,                                              ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0003,        1, Bull Run            , PRES      ,         ,        1, United States President                    , " ""November 6", " 2012""", General Election,    1, . Mitt Romney - (R)                       ,   1395,    2, . Barack Obama - (D)                       ,    491,    3, . Virgil Goode - (C)          ,     11,    4, . Jill Stein - (G)             ,      3,    5, " "". Ross C. """"Rocky"""" Anderson - (I)""",      2,    6, . Gary Johnson - (I)             ,     21,    7, . Merlin Miller - (I)        ,      1,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0003,        2, Bull Run            , USS       ,         ,        1, United States Senate                       , " ""November 6", " 2012""", General Election,    1, . Bob Corker - (R)                        ,   1407,    2, . Mark E. Clayton - (D)                    ,    333,    3, . Kermit Steck - (C)          ,     31,    4, . Martin Pleasant - (G)        ,     33,    5, . Shaun E. Crowell - (I)                     ,     21,    6, . David Gatchell - (I)           ,      0,    7, . James Higdon - (I)         ,      6,    8, . Michel Joseph Long - (I)        ,      8,    9, . Troy Stephen Scoggin - (I),      6,    10, . Write-In - Fred R. Anderson,       0
  0003,        2, Bull Run            , USS       ,         ,       11, United States Senate                       , " ""November 6", " 2012""", General Election,   11, . Write-In - Larry Crim                   ,      0,   12, . Write-In - Gary Gene Davis               ,      0,   13, . Write-In - Allen Hoenicke   ,      0,   14, . Write-In - De Wayne A. Jones ,      0,   15, . Write-In - Jacob Maurer                    ,      0,   16, . Write-In - Jim Maynard         ,      0,   17, . Write-In - Margie Nell Penn,      0,   18, . Write-In - Christopher Schappert,      0,   19, . Write-In - Lee Stewart    ,      0,    20, . Write-In - Angelia Stinnett,       0
  0003,        2, Bull Run            , USS       ,         ,       21, United States Senate                       , " ""November 6", " 2012""", General Election,   21, . Write-In - Mary D. Wright               ,      0,     ,                                            ,      0,     ,                               ,      0,     ,                                ,      0,     ,                                              ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0003,        3, Bull Run            , USH       ,        3,        1, U.S. House of Representatives District     , " ""November 6", " 2012""", General Election,    1, . Chuck Fleischmann - (R)                 ,   1312,    2, . Mary M. Headrick - (D)                   ,    452,    3, . Matthew Deniston - (I)      ,     55,    4, . Write-In - Richard Hall      ,      0,    5, . Write-In - Lady J Jean Howard-Hill         ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0003,        5, Bull Run            , TNH       ,       33,        1, Tennessee House of Representatives District, " ""November 6", " 2012""", General Election,    1, . John D. Ragan - (R)                     ,   1100,    2, . Jim Hackworth - (D)                      ,    766,     ,                               ,      0,     ,                                ,      0,     ,                                              ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0004,        1, Clinton             , PRES      ,         ,        1, United States President                    , " ""November 6", " 2012""", General Election,    1, . Mitt Romney - (R)                       ,   1359,    2, . Barack Obama - (D)                       ,    575,    3, . Virgil Goode - (C)          ,      2,    4, . Jill Stein - (G)             ,      1,    5, " "". Ross C. """"Rocky"""" Anderson - (I)""",      2,    6, . Gary Johnson - (I)             ,     21,    7, . Merlin Miller - (I)        ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0004,        2, Clinton             , USS       ,         ,        1, United States Senate                       , " ""November 6", " 2012""", General Election,    1, . Bob Corker - (R)                        ,   1400,    2, . Mark E. Clayton - (D)                    ,    373,    3, . Kermit Steck - (C)          ,     15,    4, . Martin Pleasant - (G)        ,     26,    5, . Shaun E. Crowell - (I)                     ,     15,    6, . David Gatchell - (I)           ,      4,    7, . James Higdon - (I)         ,     10,    8, . Michel Joseph Long - (I)        ,      6,    9, . Troy Stephen Scoggin - (I),      4,    10, . Write-In - Fred R. Anderson,       0
