"county","precinct","office","district","party","candidate","votes"
"Anderson","Andersonville","Governor","","Republican","Bill Lee",1011.0
"Anderson","Andersonville","Governor","","Democratic","Karl Dean",244.0
"Anderson","Andersonville","Governor","","Independent","Mark CoonRippy Brown",2.0
"Anderson","Andersonville","Governor","","Independent","Sherry L. Clark",4.0
"Anderson","Andersonville","Governor","","Independent","Justin Cornett",0.0
"Anderson","Andersonville","Governor","","Independent","Gabriel Fancher",1.0
"Anderson","Andersonville","Governor","","Independent","Sean Bruce Fleming",0.0
"Anderson","Andersonville","Governor","","Independent","William Andrew Helmstetter",0.0
"Anderson","Andersonville","Governor","","Independent","Cory King",1.0
"Anderson","Andersonville","Governor","","Independent","Tommy Ray McAnally",0.0
"Anderson","Andersonville","Governor","","Independent","Jessie D. McDonald",0.0
"Anderson","Andersonville","Governor","","Independent","Toney Randall Mitchell",0.0
"Anderson","Andersonville","Governor","","Independent","Yvonne Neubert",0.0
"Anderson","Andersonville","Governor","","Independent","Alfred Shawn Rapoza",0.0
"Anderson","Andersonville","Governor","","Independent","Chad Riden",0.0
"Anderson","Andersonville","Governor","","Independent","Robert Sawyers Sr.",0.0
"Anderson","Andersonville","Governor","","Independent","Heather Scott",2.0
"Anderson","Andersonville","Governor","","Independent","George Blackwell Smith IV",0.0
"Anderson","Andersonville","Governor","","Independent","Tracy C. Yaste Tisdale",0.0
"Anderson","Andersonville","Governor","","Independent","Mike Toews",0.0
"Anderson","Andersonville","Governor","","Independent","Rick Tyler",0.0
"Anderson","Andersonville","Governor","","Independent","Vinnie Vineyard",0.0
"Anderson","Andersonville","Governor","","Independent","Jaron D. Weidner",0.0
"Anderson","Andersonville","Governor","","Independent","Patrick Whitlock",0.0
"Anderson","Andersonville","Governor","","Independent","Joe B. Wilmoth",0.0
"Anderson","Andersonville","Governor","","Independent","Mark Wright",0.0
"Anderson","Andersonville","Governor","","","Write-In - Eddie Murphy",0.0
"Anderson","Andersonville","U.S. Senate","","Republican","Marsha Blackburn",954.0
"Anderson","Andersonville","U.S. Senate","","Democratic","Phil Bredesen",289.0
"Anderson","Andersonville","U.S. Senate","","Independent","Trudy A. Austin",5.0
"Anderson","Andersonville","U.S. Senate","","Independent","John Carico",5.0
"Anderson","Andersonville","U.S. Senate","","Independent","Dean Hill",2.0
"Anderson","Andersonville","U.S. Senate","","Independent","Kevin Lee McCants",1.0
"Anderson","Andersonville","U.S. Senate","","Independent","Breton Phillips",1.0
"Anderson","Andersonville","U.S. Senate","","Independent","Kris L. Todd",3.0
"Anderson","Andersonville","U.S. House","3","Republican","Chuck Fleischmann",1010.0
"Anderson","Andersonville","U.S. House","3","Democratic","Danielle Mitchell",215.0
"Anderson","Andersonville","U.S. House","3","Independent","Rick Tyler",16.0
"Anderson","Andersonville","State Senate","5","Republican","Randy McNally",1051.0
"Anderson","Andersonville","State Senate","5","Democratic","Stuart Starr",181.0
"Anderson","Andersonville","State Representative","36","Republican","Dennis H. Powers",996.0
"Anderson","Andersonville","State Representative","36","Democratic","Cassandra Mitchell",230.0
"Anderson","Briceville","Governor","","Republican","Bill Lee",181.0
"Anderson","Briceville","Governor","","Democratic","Karl Dean",57.0
"Anderson","Briceville","Governor","","Independent","Mark CoonRippy Brown",0.0
"Anderson","Briceville","Governor","","Independent","Sherry L. Clark",0.0
"Anderson","Briceville","Governor","","Independent","Justin Cornett",0.0
"Anderson","Briceville","Governor","","Independent","Gabriel Fancher",0.0
"Anderson","Briceville","Governor","","Independent","Sean Bruce Fleming",0.0
"Anderson","Briceville","Governor","","Independent","William Andrew Helmstetter",0.0
"Anderson","Briceville","Governor","","Independent","Cory King",0.0
"Anderson","Briceville","Governor","","Independent","Tommy Ray McAnally",0.0
"Anderson","Briceville","Governor","","Independent","Jessie D. McDonald",0.0
"Anderson","Briceville","Governor","","Independent","Toney Randall Mitchell",0.0
"Anderson","Briceville","Governor","","Independent","Yvonne Neubert",0.0
"Anderson","Briceville","Governor","","Independent","Alfred Shawn Rapoza",0.0
"Anderson","Briceville","Governor","","Independent","Chad Riden",0.0
"Anderson","Briceville","Governor","","Independent","Robert Sawyers Sr.",0.0
"Anderson","Briceville","Governor","","Independent","Heather Scott",1.0
